x = 177.8432, y = 207.2, z = 131.9724, angle = -100, collision = h0000B1_0000
x = 179.1067, y = 207.2, z = 132.0529, angle = -154.8194, collision = h0000B1_0000
x = 179.3109, y = 207.2, z = 133.2782, angle = 128.6537, collision = h0000B1_0000
x = 178.1357, y = 207.2, z = 134.0507, angle = 95.64386, collision = h0000B1_0000
x = 176.7344, y = 207.2, z = 134.0361, angle = 30.2284, collision = h0000B1_0000
x = 176.0416, y = 207.2, z = 132.8284, angle = 3.775496, collision = h0000B1_0000
x = 175.9222, y = 207.2, z = 131.4044, angle = -38.76073, collision = h0000B1_0000
x = 176.706, y = 207.2, z = 130.4795, angle = -90.06846, collision = h0000B1_0000
x = 178.106, y = 207.2, z = 130.5372, angle = -83.31758, collision = h0000B1_0000
x = 179.5137, y = 207.2, z = 130.6414, angle = -143.3789, collision = h0000B1_0000
x = 180.1831, y = 207.2, z = 131.627, angle = -159.8721, collision = h0000B1_0000
x = 180.6997, y = 207.2, z = 132.6679, angle = -100.8993, collision = h0000B1_0000
x = 182.1051, y = 206.4742, z = 132.9474, angle = -101.7416, collision = h0000B1_0000
x = 183.0401, y = 205.9292, z = 133.1431, angle = -101.9453, collision = h0000B1_0000
x = 183.9749, y = 205.3841, z = 133.34, angle = -101.535, collision = h0000B1_0000
x = 184.9108, y = 204.8392, z = 133.5315, angle = -108.6166, collision = h0000B1_0000
x = 185.8104, y = 204.3008, z = 133.8238, angle = -108.6936, collision = h0000B1_0000
x = 186.7151, y = 203.7547, z = 134.1305, angle = -108.4603, collision = h0000B1_0000
x = 187.6211, y = 203.2098, z = 134.4333, angle = -105.5924, collision = h0000B1_0000
x = 188.8473, y = 202.4805, z = 134.7884, angle = -109.9307, collision = h0000B1_0000
x = 189.7482, y = 201.9365, z = 135.1044, angle = -116.7848, collision = h0000B1_0000
x = 190.6061, y = 201.401, z = 135.5234, angle = -122.5039, collision = h0000B1_0000
x = 191.8016, y = 201.0294, z = 136.3113, angle = -130.4521, collision = h0000B1_0000
x = 192.533, y = 200.4858, z = 136.9253, angle = -132.6686, collision = h0000B1_0000
x = 193.2367, y = 199.9404, z = 137.5714, angle = -132.9643, collision = h0000B1_0000
x = 193.9398, y = 199.395, z = 138.218, angle = -134.4844, collision = h0000B1_0000
x = 194.6296, y = 198.8494, z = 138.8785, angle = -135.9864, collision = h0000B1_0000
x = 195.5106, y = 198.1264, z = 139.7898, angle = -135.6802, collision = h0000B1_0000
x = 196.1778, y = 197.5793, z = 140.4735, angle = -135.5018, collision = h0000B1_0000
x = 196.8472, y = 197.0335, z = 141.155, angle = -135.3466, collision = h0000B1_0000
x = 197.5153, y = 196.4876, z = 141.8377, angle = -142.0414, collision = h0000B1_0000
x = 198.1122, y = 195.9455, z = 142.5825, angle = -149.9179, collision = h0000B1_0000
x = 198.5999, y = 195.4169, z = 143.4031, angle = -157.2961, collision = h0000B1_0000
x = 199.1551, y = 195.012, z = 144.7233, angle = -157.2067, collision = h0000B1_0000
x = 199.5235, y = 194.471, z = 145.6047, angle = -161.0958, collision = h0000B1_0000
x = 199.953, y = 193.744, z = 146.8067, angle = -160.7835, collision = h0000B1_0000
x = 200.2659, y = 193.1995, z = 147.7092, angle = -160.5167, collision = h0000B1_0000
x = 200.5819, y = 192.6552, z = 148.6108, angle = -166.5817, collision = h0000B1_0000
x = 200.8103, y = 192.1108, z = 149.5382, angle = -166.5522, collision = h0000B1_0000
x = 201.0312, y = 191.5638, z = 150.4676, angle = -166.7065, collision = h0000B1_0000
x = 201.2498, y = 191.0182, z = 151.3975, angle = -166.9871, collision = h0000B1_0000
x = 201.4652, y = 190.4726, z = 152.3282, angle = -166.0603, collision = h0000B1_0000
x = 201.6882, y = 189.927, z = 153.257, angle = -163.721, collision = h0000B1_0000
x = 201.95, y = 189.3812, z = 154.1757, angle = -161.6497, collision = h0000B1_0000
x = 202.3636, y = 189.2, z = 155.3728, angle = -150.9184, collision = h0000B1_0000
