x = -328.627, y = -393.701, z = 140.2143, angle = 144.3893, collision = h0003B2
x = -328.891, y = -393.7904, z = 141.341, angle = -177.3491, collision = h0003B2
x = -329.7799, y = -394.0124, z = 141.8253, angle = 135.697, collision = h0004B2
x = -330.5796, y = -393.8007, z = 142.4287, angle = 118.1528, collision = h0004B2
x = -331.6227, y = -393.8121, z = 142.9901, angle = 121.5446, collision = h0401B2
x = -332.5008, y = -393.5305, z = 143.6957, angle = 128.9593, collision = h0401B2
x = -333.4752, y = -393.2835, z = 143.0823, angle = 35.44326, collision = h0401B2
x = -334.3255, y = -393.4046, z = 142.4588, angle = 151.3271, collision = h0401B2
x = -333.4365, y = -393.394, z = 144.1787, angle = -176.674, collision = h0401B2
x = -333.5566, y = -393.7824, z = 145.3208, angle = 158.6218, collision = h0401B2
x = -334.274, y = -394.5702, z = 146.4301, angle = 145.1529, collision = h0401B2
x = -335.0045, y = -394.7885, z = 147.1945, angle = 99.61641, collision = h0401B2
x = -336.1002, y = -394.9546, z = 147.2055, angle = 71.38608, collision = h0401B2
x = -337.0601, y = -394.8192, z = 146.5477, angle = 11.15436, collision = h0401B2
x = -337.2848, y = -394.286, z = 145.6632, angle = 4.19584, collision = h0401B2
x = -337.4771, y = -394.2978, z = 144.297, angle = 103.7013, collision = h0401B2
x = -338.5222, y = -394.4401, z = 144.5288, angle = 152.41, collision = h0401B2
x = -339.3038, y = -394.4722, z = 145.6025, angle = 102.0512, collision = h0401B2
x = -340.6028, y = -394.8946, z = 145.9919, angle = 47.39045, collision = h0401B2
x = -341.4742, y = -394.8059, z = 145.1252, angle = 34.21665, collision = h0401B2
x = -342.3333, y = -394.9841, z = 144.1898, angle = 140.3765, collision = h0401B2
x = -343.1526, y = -395.3344, z = 145.3901, angle = -163.8451, collision = h0401B2
x = -342.4486, y = -395.4618, z = 146.3421, angle = -85.40051, collision = h0401B2
x = -341.3934, y = -395.2897, z = 146.6218, angle = 91.17936, collision = h0401B2
x = -344.3029, y = -395.5965, z = 145.7399, angle = 94.26893, collision = h0401B2
x = -345.6727, y = -395.7328, z = 145.9092, angle = 49.04131, collision = h0401B2
x = -346.4926, y = -396.1195, z = 144.8553, angle = -40.14534, collision = h0401B2
x = -345.7156, y = -395.7387, z = 143.7325, angle = 42.48391, collision = h0401B2
x = -346.4775, y = -395.8566, z = 142.7786, angle = 64.53339, collision = h0401B2
x = -347.1117, y = -396.3031, z = 143.8539, angle = 137.984, collision = h0401B2
x = -347.8455, y = -396.3662, z = 144.573, angle = 109.4871, collision = h0401B2
