# Shanty
x = -217.4494, y = -95.5304, z = -26.17444, angle = 66.58151, collision = h0000B0
x = -217.7378, y = -95.52155, z = -27.34485, angle = 17.45422, collision = h0000B0
x = -218.2187, y = -94.9706, z = -28.66002, angle = 24.70896, collision = h0000B0
x = -218.8255, y = -95.15673, z = -29.92708, angle = 25.4289, collision = h0000B0
x = -219.4397, y = -95.15673, z = -31.19259, angle = 28.75842, collision = h0000B0
x = -220.2599, y = -95.15673, z = -32.03984, angle = 30.3399, collision = h0000B0
x = -220.9857, y = -95.15673, z = -33.2431, angle = 34.65015, collision = h0000B0
x = -221.8773, y = -95.15673, z = -34.30089, angle = 47.50938, collision = h0000B0
x = -222.9935, y = -95.15673, z = -35.14633, angle = 59.69062, collision = h0000B0
x = -224.2479, y = -95.15673, z = -35.75967, angle = 67.82457, collision = h0000B0
x = -225.5617, y = -95.15673, z = -36.25315, angle = 80.17806, collision = h0000B0
x = -226.6711, y = -95.15673, z = -36.45723, angle = 72.50026, collision = h0000B0
x = -227.5222, y = -95.12886, z = -37.1107, angle = 19.7391, collision = h0000B0
x = -228.2819, y = -95.15673, z = -37.86786, angle = 102.0939, collision = h0000B0
x = -229.1711, y = -95.10006, z = -37.38628, angle = 147.6987, collision = h0000B0
x = -230.4122, y = -95.08603, z = -35.60479, angle = 63.0275, collision = h0000B0
x = -231.4227, y = -95.15673, z = -36.08321, angle = 57.56963, collision = h0000B0
x = -232.4662, y = -95.15673, z = -35.77667, angle = 114.1555, collision = h0000B0
x = -233.4774, y = -95.15673, z = -35.25876, angle = 126.8336, collision = h0000B0
x = -234.533, y = -95.15673, z = -34.46338, angle = 128.5482, collision = h0000B0
x = -235.6265, y = -95.15673, z = -33.58079, angle = 131.8193, collision = h0000B0
x = -236.6663, y = -95.15673, z = -32.6357, angle = 134.7091, collision = h0000B0
x = -237.3445, y = -95.15673, z = -31.65845, angle = 117.7498, collision = h0000B0
x = -238.5486, y = -95.15673, z = -30.96175, angle = 143.5301, collision = h0000B0
x = -238.9766, y = -95.15694, z = -30.0411, angle = 172.7055, collision = h0000B0
x = -239.5896, y = -95.19627, z = -31.55756, angle = -7.116033, collision = h0000B0
x = -239.5859, y = -95.11207, z = -29.18858, angle = -168.7946, collision = h0000B0
x = -239.459, y = -95.45394, z = -28.07215, angle = -172.8613, collision = h0000B0
x = -239.2681, y = -95.52446, z = -26.89986, angle = -169.2984, collision = h0000B0
x = -238.9994, y = -95.48948, z = -25.52044, angle = -167.8064, collision = h0000B0
x = -238.7714, y = -95.32744, z = -24.13814, angle = 168.1046, collision = h0000B0
x = -239.0781, y = -95.00017, z = -22.76751, angle = 163.7106, collision = h0000B0
x = -239.2264, y = -95.15673, z = -21.43507, angle = -105.0075, collision = h0000B0
x = -237.8807, y = -95.15673, z = -21.19413, angle = -84.59333, collision = h0000B0
x = -237.1326, y = -95.15673, z = -20.22328, angle = -153.6059, collision = h0000B0
x = -236.45, y = -95.15673, z = -19.04846, angle = -153.1773, collision = h0000B0
x = -235.6419, y = -95.15673, z = -18.00134, angle = -126.6277, collision = h0000B0
x = -234.4654, y = -95.15673, z = -17.25188, angle = -110.5011, collision = h0000B0
x = -232.7006, y = -95.15673, z = -16.47569, angle = -115.6653, collision = h0000B0
x = -231.4213, y = -95.15673, z = -15.86481, angle = -108.5168, collision = h0000B0
x = -230.0646, y = -95.15673, z = -15.47723, angle = -100.4489, collision = h0000B0
x = -228.7865, y = -95.15673, z = -15.31198, angle = -91.38406, collision = h0000B0
x = -227.7837, y = -95.15673, z = -15.38158, angle = -83.10593, collision = h0000B0
x = -226.4101, y = -95.15673, z = -15.59479, angle = -72.9849, collision = h0000B0
x = -225.1116, y = -95.15673, z = -16.00677, angle = -63.8177, collision = h0000B0
x = -224.201, y = -95.15673, z = -16.44349, angle = -57.35163, collision = h0000B0
x = -223.0754, y = -95.15673, z = -17.1787, angle = -48.76226, collision = h0000B0
x = -221.7604, y = -95.15673, z = -18.36582, angle = -34.86214, collision = h0000B0
x = -221.0238, y = -95.14417, z = -19.24121, angle = -32.34954, collision = h0000B0
x = -220.2853, y = -95.06618, z = -20.44648, angle = -24.54173, collision = h0000B0
x = -219.5538, y = -95.06993, z = -21.635, angle = -42.42144, collision = h0000B0
x = -218.6143, y = -94.96703, z = -22.68004, angle = -30.0997, collision = h0000B0
x = -217.9193, y = -95.4002, z = -23.8868, angle = -14.82584, collision = h0000B0
x = -217.7224, y = -95.52605, z = -24.99099, angle = -6.94036, collision = h0000B0
x = -228.6974, y = -110.6338, z = -36.5884, angle = -173.0494, collision = h0001B0
x = -229.4328, y = -110.6338, z = -35.85969, angle = 96.9816, collision = h0001B0
x = -227.9261, y = -110.6338, z = -35.94378, angle = -125.3235, collision = h0001B0
x = -227.4897, y = -110.6417, z = -34.99806, angle = 163.6004, collision = h0001B0
x = -227.6139, y = -110.6555, z = -33.86323, angle = -157.6268, collision = h0001B0
x = -227.0457, y = -110.6658, z = -32.89241, angle = -131.648, collision = h0001B0
x = -226.6926, y = -110.6689, z = -31.89944, angle = -177.8179, collision = h0001B0
x = -227.7596, y = -110.6499, z = -31.9755, angle = 79.95218, collision = h0001B0
x = -229.9362, y = -115.5909, z = -32.59148, angle = 60.70762, collision = h0001B0
x = -228.8856, y = -115.6702, z = -32.87395, angle = -30.30268, collision = h0001B0
x = -229.1479, y = -115.6702, z = -33.84905, angle = 38.24507, collision = h0001B0
x = -230.1689, y = -115.6702, z = -34.10036, angle = 75.88248, collision = h0001B0
x = -231.2551, y = -115.6702, z = -34.35958, angle = 107.0483, collision = h0001B0
x = -231.7988, y = -115.6702, z = -33.49823, angle = 150.968, collision = h0001B0
