x = 3.952387, y = -93.45131, z = 179.925, angle = -40.58049, collision = h0102B0
x = 3.503441, y = -93.50313, z = 178.9026, angle = -54.54437, collision = h0102B0
x = 4.724428, y = -93.64644, z = 178.8692, angle = -48.31374, collision = h0102B0
x = 5.44489, y = -93.89366, z = 178.0831, angle = -13.53065, collision = h0102B0
x = 5.699143, y = -94.12035, z = 176.9504, angle = -45.7952, collision = h0102B0
x = 6.292044, y = -94.43874, z = 175.9089, angle = -26.0588, collision = h0102B0
x = 7.144508, y = -94.73077, z = 175.0637, angle = 2.001068, collision = h0102B0
x = 7.192482, y = -95.10816, z = 173.5455, angle = -33.10083, collision = h0102B0
x = 7.603386, y = -95.42805, z = 172.575, angle = -54.19715, collision = h0102B0
x = 8.428972, y = -95.84622, z = 172.0091, angle = -61.05302, collision = h0102B0
x = 9.738935, y = -96.45663, z = 171.3042, angle = -54.96326, collision = h0102B0
x = 10.68791, y = -96.96852, z = 170.6725, angle = -52.97113, collision = h0102B0
x = 11.63349, y = -97.51236, z = 169.9571, angle = -43.74142, collision = h0102B0
x = 10.63096, y = -97.11118, z = 169.6364, angle = 123.3339, collision = h0102B0
x = 12.3234, y = -97.87469, z = 169.0452, angle = -75.56126, collision = h0102B0
x = 13.8118, y = -98.4432, z = 168.7006, angle = -94.99802, collision = h0102B0
x = 14.9706, y = -98.82363, z = 168.7836, angle = -98.07193, collision = h0102B0
x = 15.992, y = -99.12375, z = 169.0378, angle = -132.2922, collision = h0102B0
x = 16.85543, y = -99.44096, z = 169.8715, angle = -125.3287, collision = h0102B0
x = 17.69048, y = -99.74569, z = 170.7048, angle = -125.548, collision = h0102B0
x = 18.9197, y = -100.2013, z = 171.6057, angle = -151.5818, collision = h0102B0
x = 19.68706, y = -100.7052, z = 172.9254, angle = -147.4011, collision = h0102B0
x = 20.43699, y = -101.196, z = 173.6873, angle = -139.6244, collision = h0102B0
x = 21.41261, y = -101.2405, z = 174.0344, angle = -151.8178, collision = h0102B0
x = 21.2623, y = -101.318, z = 172.8228, angle = -21.90358, collision = h0102B0
x = 21.71229, y = -101.4416, z = 171.3748, angle = -53.39827, collision = h0102B0
x = 22.54407, y = -101.6272, z = 170.4924, angle = -122.7545, collision = h0102B0
x = 23.87417, y = -101.9698, z = 170.6283, angle = -51.95614, collision = h0102B0
x = 24.94279, y = -102.2729, z = 170.5788, angle = -51.01549, collision = h0102B0
x = 26.2779, y = -102.7345, z = 169.5396, angle = -68.18404, collision = h0102B0
