x = 858.3763, y = -447.4662, z = 902.7849, angle = 23.43185, collision = h0110B1
x = 857.4161, y = -447.4633, z = 903.4741, angle = 105.5971, collision = h0110B1
x = 856.4235, y = -447.2959, z = 903.1718, angle = 25.49762, collision = h1010B1
x = 856.2085, y = -447.4381, z = 902.054, angle = -38.70758, collision = h0110B1
x = 857.1363, y = -447.4686, z = 901.625, angle = -135.6938, collision = h0110B1
x = 859.5306, y = -447.6254, z = 902.8141, angle = -106.2982, collision = h0110B1
x = 860.6435, y = -447.814, z = 903.1316, angle = -91.16164, collision = h0110B1
x = 861.9124, y = -447.2746, z = 903.3903, angle = -92.05229, collision = h0110B1
x = 862.7968, y = -447.2538, z = 902.2699, angle = 53.17707, collision = h0110B1
x = 861.8033, y = -447.551, z = 901.2393, angle = -53.5741, collision = h0110B1
x = 862.6712, y = -447.4664, z = 900.4365, angle = -87.13091, collision = h0110B1
x = 863.6254, y = -447.3217, z = 899.8441, angle = 20.49266, collision = h1010B1
x = 863.3452, y = -447.3801, z = 898.4511, angle = 26.3912, collision = h0110B1
x = 862.7702, y = -447.5773, z = 897.3017, angle = -15.36608, collision = h0110B1
x = 863.5515, y = -447.304, z = 896.6606, angle = -127.6824, collision = h1010B1
x = 864.4737, y = -447.3797, z = 897.2942, angle = -100.2472, collision = h0110B1
x = 865.7332, y = -447.3292, z = 897.7945, angle = 3.808896, collision = h0110B1
x = 866.0916, y = -447.4945, z = 896.5379, angle = -94.97485, collision = h0110B1
x = 867.5953, y = -447.4791, z = 896.4739, angle = -48.78796, collision = h0110B1
x = 868.7122, y = -447.4762, z = 895.5807, angle = -110.9168, collision = h0110B1
x = 869.8795, y = -447.4803, z = 895.5768, angle = -165.634, collision = h0110B1
x = 870.3688, y = -447.407, z = 896.6954, angle = -122.3869, collision = h0110B1
x = 871.6582, y = -447.5949, z = 896.8965, angle = -108.2625, collision = h0110B1
x = 872.9439, y = -448.0496, z = 897.3202, angle = -148.3074, collision = h0110B1
x = 875.3982, y = -449.0437, z = 899.0623, angle = -84.17872, collision = h0110B1
x = 876.7495, y = -449.5555, z = 899.2422, angle = -159.3788, collision = h0110B1
x = 877.4319, y = -449.952, z = 900.7243, angle = -128.6107, collision = h1001B1
x = 878.5113, y = -450.5728, z = 901.7068, angle = -121.982, collision = h1010B1
x = 879.4182, y = -450.9889, z = 902.181, angle = -146.9167, collision = h1001B1
x = 880.8807, y = -451.4424, z = 902.3162, angle = -169.7952, collision = h1001B1
x = 882.0679, y = -451.9088, z = 903.1706, angle = -118.9902, collision = h1001B1
x = 883.0599, y = -452.1557, z = 902.4264, angle = -112.7858, collision = h1001B1
x = 884.4914, y = -452.5994, z = 902.655, angle = -101.6668, collision = h1001B1
x = 885.8593, y = -453.0627, z = 903.1853, angle = -144.9018, collision = h1001B1
x = 886.7209, y = -453.208, z = 904.0499, angle = -138.4644, collision = h1001B1
x = 887.464, y = -453.2676, z = 904.9805, angle = -145.7758, collision = h1001B1
x = 888.0867, y = -453.3044, z = 905.7961, angle = -148.5343, collision = h1001B1
x = 888.6579, y = -453.331, z = 906.677, angle = -161.1803, collision = h1001B1
x = 889.2813, y = -453.4063, z = 907.9047, angle = -127.0876, collision = h1001B1
x = 890.1141, y = -453.6606, z = 908.5687, angle = -137.4239, collision = h1001B1
x = 891.2147, y = -454.1948, z = 909.9725, angle = 176.006, collision = h1010B1
x = 891.2238, y = -454.1343, z = 910.9782, angle = -179.8761, collision = h1010B1
x = 891.3165, y = -454.2733, z = 911.9825, angle = -179.8761, collision = h1001B1
x = 892.4992, y = -454.1487, z = 911.1249, angle = -137.069, collision = h1010B1
x = 893.3655, y = -454.2629, z = 912.0151, angle = -162.0516, collision = h1001B1
x = 893.7053, y = -454.3378, z = 912.9741, angle = 117.7246, collision = h1001B1
x = 892.4604, y = -454.2962, z = 913.5801, angle = 84.77914, collision = h1001B1
x = 891.2402, y = -454.4029, z = 913.5905, angle = 150.7159, collision = h1001B1
x = 890.6832, y = -454.4974, z = 914.4237, angle = -149.6758, collision = h1001B1
x = 891.3604, y = -454.7171, z = 915.5996, angle = -152.1618, collision = h1001B1
x = 891.8033, y = -454.9354, z = 916.8075, angle = 129.7316, collision = h1001B1
x = 891.0882, y = -454.9326, z = 917.5334, angle = 136.0781, collision = h1001B1
x = 890.2993, y = -454.9146, z = 918.587, angle = 173.5877, collision = h1001B1
x = 890.1346, y = -454.9522, z = 920.0867, angle = -167.5408, collision = h1001B1
x = 890.5401, y = -455.2959, z = 922.0967, angle = -165.3736, collision = h1001B1
x = 890.949, y = -455.4849, z = 923.5076, angle = -147.1233, collision = h1001B1
