x = 97.78597, y = -5.126096, z = 34.945, angle = -80.78, collision = h0000B0
x = 97.02116, y = -5.198654, z = 35.76941, angle = 150.523, collision = h0000B0
x = 96.4379, y = -5.319974, z = 36.76736, angle = 118.0111, collision = h0000B0
x = 95.33707, y = -5.3035, z = 37.1711, angle = 103.7177, collision = h0000B0
x = 94.26617, y = -5.456099, z = 37.40671, angle = 101.2324, collision = h0000B0
x = 92.86115, y = -5.77528, z = 37.68808, angle = 94.40201, collision = h0000B0
x = 91.43888, y = -5.420575, z = 37.70371, angle = 83.18046, collision = h0000B0
x = 90.01243, y = -5.20462, z = 37.62729, angle = 91.60384, collision = h0000B0
x = 88.58147, y = -5.20462, z = 37.68255, angle = 95.25502, collision = h0000B0
x = 87.16362, y = -5.20462, z = 37.81192, angle = 95.33646, collision = h0000B0
x = 85.89284, y = -5.20462, z = 37.93547, angle = 95.69788, collision = h0000B0
x = 84.46808, y = -5.20462, z = 37.95904, angle = 80.35929, collision = h0000B0
x = 83.05493, y = -5.799987, z = 37.72205, angle = 98.51094, collision = h0000B0
x = 81.63789, y = -5.77267, z = 37.88412, angle = 98.92308, collision = h0000B0
x = 80.58466, y = -5.767542, z = 38.36173, angle = 58.16387, collision = h0000B0
x = 79.51766, y = -5.553174, z = 37.56033, angle = 2.581456, collision = h0000B0
x = 79.45828, y = -5.710314, z = 36.29607, angle = 6.550507, collision = h0000B0
x = 79.29736, y = -5.884801, z = 35.25193, angle = 14.16163, collision = h0000B0
x = 78.96758, y = -5.962072, z = 33.91331, angle = 31.22133, collision = h0000B0
x = 78.24711, y = -5.8156, z = 32.67646, angle = 32.5566, collision = h0000B0
x = 77.52618, y = -5.733834, z = 31.44408, angle = -20.28397, collision = h0000B0
x = 77.90819, y = -5.672999, z = 30.24387, angle = -34.48827, collision = h0000B0
x = 78.70448, y = -5.693187, z = 29.05731, angle = -3.737343, collision = h0000B0
x = 78.69237, y = -5.704139, z = 27.66534, angle = 20.48213, collision = h0000B0
x = 78.18579, y = -5.724202, z = 26.33086, angle = 16.62035, collision = h0000B0
x = 77.81929, y = -5.73963, z = 24.95942, angle = 36.33435, collision = h0000B0
x = 77.04881, y = -5.700909, z = 23.75974, angle = -4.418873, collision = h0000B0
x = 77.08363, y = -5.635209, z = 22.497, angle = -1.367609, collision = h0000B0
x = 78.10249, y = -5.662899, z = 23.62547, angle = -123.2071, collision = h0000B0
x = 76.12566, y = -5.634976, z = 21.94018, angle = 126.4768, collision = h0000B0
x = 75.63896, y = -5.699024, z = 22.91362, angle = -146.4728, collision = h0000B0
x = 78.86286, y = -5.723998, z = 25.25373, angle = -105.4368, collision = h0000B0
x = 80.02051, y = -5.66958, z = 25.12147, angle = -84.7556, collision = h0000B0
x = 81.12031, y = -5.288408, z = 25.05058, angle = -87.62206, collision = h0000B0
x = 82.22657, y = -5.324363, z = 25.00014, angle = -162.3015, collision = h0000B0
x = 82.14443, y = -5.537499, z = 26.32081, angle = 143.2695, collision = h0000B0
x = 81.26424, y = -5.491797, z = 27.44608, angle = -151.5864, collision = h0000B0
x = 81.91729, y = -5.536309, z = 28.3178, angle = -46.80834, collision = h0000B0
x = 82.91656, y = -5.613051, z = 27.37992, angle = -35.31567, collision = h0000B0
x = 83.79221, y = -5.665989, z = 26.25676, angle = -67.53042, collision = h0000B0
x = 84.99232, y = -5.646892, z = 25.89067, angle = -97.30912, collision = h0000B0
x = 86.38107, y = -5.667034, z = 26.18657, angle = -147.2383, collision = h0000B0
x = 87.14498, y = -5.769043, z = 27.37695, angle = -166.5223, collision = h0000B0
x = 87.32915, y = -5.876798, z = 28.77876, angle = 151.5346, collision = h0000B0
x = 86.63722, y = -5.837393, z = 30.01937, angle = -152.3415, collision = h0000B0
x = 87.38969, y = -5.752036, z = 31.03862, angle = -88.04437, collision = h0000B0
x = 88.63911, y = -5.759864, z = 30.94884, angle = -38.10099, collision = h0000B0
x = 89.38775, y = -5.739086, z = 29.82395, angle = -52.9593, collision = h0000B0
x = 90.46583, y = -5.676266, z = 28.99349, angle = -79.58549, collision = h0000B0
x = 91.87962, y = -5.48968, z = 28.77002, angle = -106.0715, collision = h0000B0
x = 92.68037, y = -5.306387, z = 29.75843, angle = 163.9134, collision = h0093B0
x = 92.30386, y = -5.336555, z = 31.13709, angle = 164.2867, collision = h0000B0
x = 92.06675, y = -5.357484, z = 32.37703, angle = -138.0321, collision = h0000B0
x = 93.07103, y = -5.273501, z = 33.28714, angle = -98.62117, collision = h0000B0
x = 94.43571, y = -5.300499, z = 33.63323, angle = -157.3887, collision = h0000B0
x = 95.05261, y = -5.304111, z = 34.90762, angle = -157.8455, collision = h0000B0
x = 97.23974, y = -5.441102, z = 37.7514, angle = -116.3342, collision = h0000B0
x = 98.51449, y = -5.650636, z = 38.40311, angle = -116.8722, collision = h0000B0
x = 99.85332, y = -5.816696, z = 38.77295, angle = -51.12251, collision = h0000B0
x = 100.9404, y = -5.653867, z = 37.8602, angle = -16.97099, collision = h0000B0
x = 100.9016, y = -5.795027, z = 36.62282, angle = 55.68591, collision = h0000B0
x = 99.77914, y = -5.457967, z = 35.73562, angle = 46.26527, collision = h0000B0
x = 98.8453, y = -5.183274, z = 34.87935, angle = 43.18988, collision = h0000B0
x = 97.88348, y = -5.299212, z = 33.82029, angle = 38.61264, collision = h0000B0
x = 97.02042, y = -5.475601, z = 32.67789, angle = 26.86447, collision = h0000B0
x = 96.48645, y = -5.512621, z = 31.36113, angle = -5.499614, collision = h0000B0
x = 96.68933, y = -5.606908, z = 29.97272, angle = -50.31546, collision = h0000B0
x = 97.83182, y = -5.658867, z = 29.17342, angle = -76.69611, collision = h0000B0
x = 98.9769, y = -5.695451, z = 28.69691, angle = -40.73369, collision = h0000B0
x = 100.0389, y = -5.769589, z = 28.47352, angle = -142.6852, collision = h0000B0
x = 100.9881, y = -5.822128, z = 29.11923, angle = -127.5764, collision = h0000B0
x = 102.1496, y = -5.848982, z = 29.90075, angle = -114.0585, collision = h0000B0
x = 102.8989, y = -5.871311, z = 30.61769, angle = 178.1476, collision = h0000B0
x = 102.8993, y = -5.927942, z = 32.03364, angle = -171.8824, collision = h0000B0
x = 103.1344, y = -5.859286, z = 33.44597, angle = -161.2664, collision = h0000B0
x = 103.6357, y = -5.637533, z = 34.78468, angle = -140.2859, collision = h0000B0
x = 104.5843, y = -5.426233, z = 35.83872, angle = -111.4011, collision = h0000B0
