x = 189.8432, y = -267.2042, z = 127.9724, angle = -100, collision = h0001B1
x = 190.6543, y = -267.0952, z = 126.9544, angle = -44.48078, collision = h0001B1
x = 191.7292, y = -266.8888, z = 126.1911, angle = -169.5923, collision = h0001B1
x = 192.0296, y = -267.1322, z = 127.2932, angle = 137.6975, collision = h0001B1
x = 191.0208, y = -267.2123, z = 128.3304, angle = 124.3772, collision = h0001B1
x = 189.9403, y = -267.1372, z = 129.0947, angle = 147.0871, collision = h0001B1
x = 189.2226, y = -267.0686, z = 130.3705, angle = 172.0057, collision = h0001B1
x = 189.0736, y = -266.97, z = 131.3841, angle = -178.2361, collision = h0001B1
x = 189.0943, y = -266.7479, z = 133.0222, angle = -160.4594, collision = h0001B1
x = 189.6396, y = -266.5521, z = 134.2042, angle = -70.37655, collision = h0001B1
x = 190.8199, y = -266.5134, z = 133.9402, angle = -47.37635, collision = h0001B1
x = 191.7343, y = -266.556, z = 133.1709, angle = 26.54143, collision = h0001B1
x = 191.7431, y = -266.7495, z = 132.1588, angle = 30.78601, collision = h0001B1
x = 191.0101, y = -266.9494, z = 131.1353, angle = 17.3772, collision = h0001B1
x = 193.3147, y = -266.8142, z = 126.0314, angle = -74.22173, collision = h0001B1
x = 194.2676, y = -266.7927, z = 125.7132, angle = -132.518, collision = h0001B1
x = 195.5732, y = -266.9488, z = 126.1088, angle = -167.2624, collision = h0001B1
x = 195.925, y = -267.2981, z = 127.4162, angle = -175.9531, collision = h0001B1
x = 196.0269, y = -267.3052, z = 128.8251, angle = -172.4422, collision = h0001B1
x = 196.1755, y = -267.0633, z = 129.9338, angle = 162.1026, collision = h0001B1
x = 195.8395, y = -266.9397, z = 131.1415, angle = 100.8918, collision = h0001B1
x = 194.5607, y = -266.8676, z = 131.5255, angle = 118.7519, collision = h0001B1
x = 193.4542, y = -266.9297, z = 132.0636, angle = 168.5379, collision = h0001B1
x = 193.0741, y = -266.6034, z = 133.3927, angle = -148.4627, collision = h0001B1
x = 193.5139, y = -266.5487, z = 134.3122, angle = -134.5101, collision = h0001B1
x = 194.5056, y = -266.5205, z = 135.275, angle = -82.13446, collision = h0001B1
x = 195.6601, y = -266.4829, z = 135.264, angle = -36.80922, collision = h0001B1
x = 196.3931, y = -266.5201, z = 134.4065, angle = -7.923934, collision = h0001B1
x = 196.7225, y = -266.5631, z = 133.162, angle = 23.46143, collision = h0001B1
x = 196.4058, y = -266.7426, z = 131.9885, angle = -8.972929, collision = h0001B1
x = 196.8219, y = -267.329, z = 128.2145, angle = -46.18303, collision = h0001B1
x = 197.5704, y = -267.1666, z = 127.289, angle = -56.20516, collision = h0001B1
x = 198.5648, y = -266.9266, z = 126.4417, angle = -56.64066, collision = h0100B1
x = 199.5513, y = -266.6333, z = 125.7911, angle = -55.16848, collision = h0100B1
x = 200.9251, y = -266.2771, z = 124.8604, angle = -71.93845, collision = h0100B1
x = 201.8309, y = -266.0844, z = 124.2216, angle = -159.282, collision = h0100B1
x = 202.912, y = -265.897, z = 124.4833, angle = 151.1699, collision = h0100B1
x = 202.9589, y = -266.1441, z = 125.6961, angle = 138.2315, collision = h0100B1
x = 202.1611, y = -266.4643, z = 126.7437, angle = 139.7238, collision = h0100B1
x = 201.3073, y = -266.6541, z = 127.7678, angle = 146.573, collision = h0100B1
x = 200.7023, y = -266.6639, z = 128.8235, angle = 143.9786, collision = h0100B1
x = 199.8244, y = -266.4958, z = 130.0097, angle = 134.4211, collision = h0100B1
x = 198.9157, y = -266.4483, z = 130.8878, angle = 152.0959, collision = h0001B1
x = 198.2904, y = -266.4229, z = 131.8989, angle = 168.2892, collision = h0001B1
x = 198.046, y = -266.3663, z = 133.1285, angle = -177.9512, collision = h0001B1
x = 198.0634, y = -266.2643, z = 134.5139, angle = -126.5104, collision = h0001B1
x = 198.8471, y = -265.9541, z = 135.3626, angle = -44.68248, collision = h0100B1
x = 199.7321, y = -265.7767, z = 134.7376, angle = -23.97152, collision = h0100B1
x = 200.3389, y = -265.7889, z = 133.5383, angle = 0.2664457, collision = h0100B1
x = 200.4265, y = -265.9441, z = 132.2501, angle = -31.68965, collision = h0100B1
