x = -170.2277, y = -98.06839, z = -48.69937, angle = 117.8827, collision = h0007B0
x = -98.70331, y = -57.64817, z = -12.34099, angle = -39.03888, collision = h0007B0
x = -97.7336, y = -57.64819, z = -11.9585, angle = -120.235, collision = h0007B0
x = -96.51111, y = -57.64822, z = -11.31999, angle = -120.6361, collision = h0007B0
x = -95.98572, y = -57.64828, z = -10.3877, angle = 102.4509, collision = h0007B0
x = -97.15945, y = -57.64829, z = -10.11633, angle = 66.23371, collision = h0007B0
x = -98.38122, y = -57.64828, z = -10.39727, angle = -65.14786, collision = h0007B0
x = -97.58109, y = -57.64835, z = -9.071061, angle = 127.0851, collision = h0007B0
x = -98.72618, y = -57.64846, z = -8.374965, angle = 176.2039, collision = h0007B0
x = -98.7647, y = -57.64846, z = -7.010977, angle = -123.1771, collision = h0007B0
x = -98.02597, y = -57.64843, z = -6.121196, angle = 143.0731, collision = h0007B0
x = -98.90271, y = -57.64846, z = -5.126445, angle = 130.1893, collision = h0007B0
x = -99.49258, y = -57.64848, z = -4.210219, angle = -133.1281, collision = h0007B0
x = -98.48706, y = -57.64845, z = -3.210538, angle = -166.431, collision = h0007B0
x = -98.43562, y = -57.64844, z = -1.880106, angle = 143.8, collision = h0007B0
x = -98.93719, y = -57.64845, z = -0.6153212, angle = -150.4371, collision = h0007B0
x = -98.16203, y = -57.64841, z = 0.5670586, angle = -111.8006, collision = h0007B0
x = -97.01037, y = -57.64842, z = 1.336108, angle = -156.0158, collision = h0007B0
x = -96.00967, y = -57.64842, z = 1.217496, angle = 27.62228, collision = h0007B0
x = -96.75607, y = -57.64841, z = 0.1976397, angle = 134.6759, collision = h0007B0
x = -96.61626, y = -57.78057, z = -0.962916, angle = 28.61733, collision = h0007B0
x = -96.83748, y = -58.32586, z = -1.814948, angle = -36.66333, collision = h0007B0
x = -96.40459, y = -58.85105, z = -2.635701, angle = -30.36208, collision = h0007B0
x = -95.97014, y = -59.55883, z = -3.741676, angle = 24.75235, collision = h0007B0
x = -96.36117, y = -60.12238, z = -4.622255, angle = 61.0435, collision = h0007B0
x = -96.8301, y = -60.87809, z = -5.803087, angle = -20.68807, collision = h0007B0
x = -96.54041, y = -61.459, z = -6.710735, angle = -20.21938, collision = h0007B0
x = -96.25833, y = -61.64828, z = -8.083544, angle = 16.49865, collision = h0007B0
x = -96.71013, y = -62.32946, z = -9.464609, angle = 12.08002, collision = h0007B0
x = -96.97119, y = -62.91598, z = -10.3811, angle = -4.191045, collision = h0007B0
x = -97.01916, y = -63.42144, z = -11.17094, angle = 3.979323, collision = h0007B0
x = -97.14187, y = -63.99449, z = -12.08685, angle = 86.64414, collision = h0014B0
x = -98.51488, y = -63.99475, z = -12.11408, angle = 134.142, collision = h0014B0
x = -99.39274, y = -63.99496, z = -11.04944, angle = -140.5099, collision = h0014B0
x = -98.52975, y = -63.99475, z = -9.990368, angle = -163.0018, collision = h0014B0
x = -98.49815, y = -63.99474, z = -8.678538, angle = 138.4607, collision = h0014B0
x = -99.22127, y = -63.99492, z = -7.645352, angle = -178.6449, collision = h0014B0
x = -99.20253, y = -63.99491, z = -6.226284, angle = -174.8622, collision = h0014B0
x = -99.06684, y = -63.99488, z = -4.799822, angle = -173.3261, collision = h0014B0
x = -98.89386, y = -63.99473, z = -3.377449, angle = -170.9173, collision = h0014B0
x = -98.82297, y = -63.99451, z = -1.9582, angle = 171.0739, collision = h0014B0
x = -98.95864, y = -63.99438, z = -0.8180553, angle = 179.6372, collision = h0014B0
x = -98.96275, y = -63.99429, z = 0.3787349, angle = -179.2633, collision = h0014B0
x = -99.25824, y = -63.99427, z = 1.508706, angle = -178.8169, collision = h0014B0
x = -99.49355, y = -63.99411, z = 2.719179, angle = -124.901, collision = h0014B0
x = -97.71716, y = -63.99457, z = -10.76932, angle = 0.957374, collision = h0014B0
x = -97.05522, y = -63.9945, z = -13.25609, angle = -74.43734, collision = h0014B0
x = -95.90495, y = -63.99429, z = -13.93727, angle = 54.76372, collision = h0014B0
x = -96.97192, y = -63.99451, z = -14.59327, angle = 116.1052, collision = h0014B0
x = -98.30544, y = -63.99475, z = -14.09553, angle = 63.7066, collision = h0014B0
x = -99.48806, y = -63.995, z = -14.82451, angle = -13.15046, collision = h0014B0
x = -99.12856, y = -63.99495, z = -15.94512, angle = -61.99683, collision = h0014B0
x = -97.90469, y = -63.99473, z = -16.68674, angle = -54.14447, collision = h0014B0
x = -96.74856, y = -63.99452, z = -17.5325, angle = 4.689867, collision = h0014B0
x = -97.1143, y = -63.99461, z = -18.62572, angle = 71.42555, collision = h0014B0
x = -98.44096, y = -63.99488, z = -19.16145, angle = 35.53954, collision = h0014B0
x = -98.72002, y = -63.99486, z = -20.27572, angle = -53.84137, collision = h0014B0
x = -97.68314, y = -63.99477, z = -20.99191, angle = -67.13565, collision = h0014B0
x = -96.47283, y = -63.99454, z = -21.71379, angle = 21.29694, collision = h0014B0
x = -96.88576, y = -63.99465, z = -23.02584, angle = 31.002, collision = h0014B0
x = -97.63251, y = -63.99465, z = -24.24867, angle = -11.81358, collision = h0014B0
x = -97.39797, y = -63.99459, z = -25.52053, angle = -23.94159, collision = h0014B0
x = -97.1235, y = -63.99452, z = -26.85372, angle = 20.79252, collision = h0014B0
x = -97.57402, y = -63.9945, z = -28.04793, angle = 24.7081, collision = h0014B0
x = -98.10976, y = -63.99452, z = -29.37409, angle = -21.82602, collision = h0014B0
x = -98.31548, y = -63.99453, z = -30.46435, angle = 13.66672, collision = h0014B0
x = -97.09757, y = -63.99448, z = -29.39317, angle = 25.03162, collision = h0014B0
x = -97.94547, y = -63.99475, z = -22.18418, angle = 64.98063, collision = h0014B0
x = -99.19404, y = -63.99475, z = -22.82219, angle = -6.17139, collision = h0014B0
x = -98.99979, y = -63.99468, z = -24.16927, angle = -48.22976, collision = h0014B0
x = -98.20282, y = -63.99453, z = -27.00379, angle = 65.39976, collision = h0014B0
x = -99.49063, y = -63.99458, z = -27.31968, angle = 72.63492, collision = h0014B0
x = -100.4998, y = -63.94463, z = -27.21313, angle = 90.58652, collision = h0004B0
