x = 230.0119, y = 199.9796, z = 473.7116, angle = -139.4778, collision = h0102B0
x = 229.1975, y = 199.9796, z = 472.9286, angle = 48.20922, collision = h0102B0
x = 228.0877, y = 199.9796, z = 471.9373, angle = 53.31498, collision = h0102B0
x = 227.2851, y = 199.9877, z = 471.287, angle = 50.77709, collision = h0100B0
x = 226.2624, y = 199.9867, z = 471.6657, angle = 74.58205, collision = h0100B0
x = 224.8556, y = 199.9859, z = 471.3523, angle = 49.30272, collision = h0100B0
x = 223.9981, y = 199.9857, z = 470.5337, angle = 4.057857, collision = h0100B0
x = 223.789, y = 199.9864, z = 469.082, angle = 4.158588, collision = h0100B0
x = 223.5123, y = 199.9845, z = 467.6767, angle = 46.68666, collision = h0100B0
x = 222.593, y = 199.9834, z = 466.8169, angle = 36.9606, collision = h0100B0
x = 221.7368, y = 199.9841, z = 465.7029, angle = 21.36546, collision = h0100B0
x = 221.2872, y = 199.986, z = 464.7108, angle = -41.75838, collision = h0100B0
x = 222.038, y = 199.9888, z = 463.9637, angle = -84.40674, collision = h0100B0
x = 223.1127, y = 199.9902, z = 463.9284, angle = -80.17577, collision = h0100B0
x = 224.501, y = 199.9887, z = 463.7108, angle = -77.17901, collision = h0100B0
x = 225.6917, y = 199.9874, z = 463.4459, angle = -59.33145, collision = h0100B0
x = 226.8004, y = 199.9887, z = 462.8119, angle = -23.15929, collision = h0100B0
x = 227.467, y = 199.9894, z = 461.5522, angle = -17.79215, collision = h0101B0
x = 227.7903, y = 199.9891, z = 460.5402, angle = -17.42695, collision = h0101B0
x = 228.2129, y = 199.9888, z = 459.1945, angle = -55.45805, collision = h0101B0
x = 229.1062, y = 199.989, z = 458.3484, angle = -84.37046, collision = h0101B0
x = 230.2225, y = 199.9895, z = 458.2013, angle = -86.80813, collision = h0101B0
x = 231.591, y = 199.9902, z = 458.0927, angle = -40.73888, collision = h0101B0
x = 232.5844, y = 199.9876, z = 457.3357, angle = -30.97136, collision = h0101B0
x = 233.196, y = 199.9848, z = 456.3091, angle = -30.3594, collision = h0101B0
x = 233.8497, y = 199.9816, z = 455.1952, angle = -28.72594, collision = h0101B0
x = 234.5521, y = 199.9782, z = 453.9384, angle = -40.42702, collision = h0101B0
x = 235.214, y = 199.9757, z = 453.1051, angle = -39.08923, collision = h0101B0
x = 236.1173, y = 199.9723, z = 451.9973, angle = -38.01183, collision = h0101B0
x = 236.9143, y = 199.9692, z = 450.9808, angle = -41.31032, collision = h0101B0
x = 237.8342, y = 199.968, z = 449.9102, angle = -40.98668, collision = h0101B0
x = 238.5495, y = 199.9675, z = 449.0905, angle = -40.90529, collision = h0101B0
x = 239.433, y = 199.9668, z = 448.0712, angle = -40.90434, collision = h0101B0
x = 240.1879, y = 199.9663, z = 447.1996, angle = -40.93947, collision = h0101B0
x = 240.9041, y = 199.9658, z = 446.3737, angle = -49.16969, collision = h0103B0
x = 242.501, y = 199.9625, z = 444.9545, angle = -50.02663, collision = h0103B0
x = 243.5375, y = 199.9603, z = 444.0808, angle = -51.32251, collision = h0103B0
x = 244.6007, y = 199.9583, z = 443.2252, angle = -52.65953, collision = h0103B0
x = 245.4648, y = 199.9569, z = 442.5605, angle = -53.82156, collision = h0103B0
x = 246.6113, y = 199.9553, z = 441.7157, angle = -55.25232, collision = h0103B0
x = 247.6747, y = 199.9569, z = 440.9749, angle = -56.71292, collision = h0103B0
x = 248.6934, y = 199.9604, z = 440.2933, angle = -41.35322, collision = h0103B0
x = 249.5834, y = 199.9602, z = 439.3778, angle = -39.1077, collision = h0103B0
x = 250.489, y = 199.9581, z = 438.2678, angle = -39.05404, collision = h0103B0
x = 251.1624, y = 199.9565, z = 437.4382, angle = -36.55124, collision = h0103B0
x = 252.014, y = 199.9534, z = 436.2896, angle = -29.48106, collision = h0103B0
x = 252.555, y = 199.9489, z = 435.3716, angle = -29.48106, collision = h0103B0
x = 251.8288, y = 199.9313, z = 434.396, angle = 30.30368, collision = h0103B0
x = 251.2286, y = 199.9397, z = 433.0619, angle = -1.888862, collision = h0103B0
x = 251.25, y = 199.9535, z = 431.7403, angle = 36.37759, collision = h0103B0
x = 250.3914, y = 199.9555, z = 430.5689, angle = 48.93511, collision = h0103B0
x = 249.3746, y = 199.9523, z = 429.7231, angle = 50.31944, collision = h0103B0
x = 248.5709, y = 199.9498, z = 429.0562, angle = 50.81459, collision = h0103B0
x = 247.5274, y = 199.9464, z = 428.2027, angle = 46.78397, collision = h0103B0
x = 246.7296, y = 199.9447, z = 427.4578, angle = 44.32082, collision = h0103B0
x = 245.787, y = 199.9435, z = 426.5047, angle = 41.47932, collision = h0103B0
x = 244.8761, y = 199.9435, z = 425.4699, angle = 42.41905, collision = h0103B0
x = 243.9863, y = 199.9431, z = 424.4935, angle = 44.66251, collision = h0103B0
x = 243.1481, y = 199.9422, z = 423.6312, angle = 46.39315, collision = h0103B0
x = 242.2172, y = 199.9404, z = 422.7398, angle = 46.66562, collision = h0103B0
x = 241.1673, y = 199.9383, z = 421.7534, angle = 47.91436, collision = h0103B0
x = 240.3805, y = 199.9365, z = 421.038, angle = 48.90303, collision = h0103B0
x = 239.306, y = 199.9336, z = 420.0983, angle = 46.52192, collision = h0103B0
x = 238.3599, y = 199.9339, z = 419.2173, angle = 42.75592, collision = h0103B0
x = 237.5808, y = 199.9349, z = 418.3722, angle = 42.92734, collision = h0103B0
x = 236.6602, y = 199.9361, z = 417.3847, angle = 42.8982, collision = h0103B0
x = 235.7456, y = 199.9372, z = 416.4005, angle = 42.74696, collision = h0103B0
x = 234.9573, y = 199.9382, z = 415.5486, angle = 42.583, collision = h0103B0
