x = -323.8972, y = -235.5255, z = 131.3129, angle = -78.64848, collision = h0000B2
x = -323.6701, y = -235.5255, z = 130.1505, angle = -56.29117, collision = h0000B2
x = -322.6799, y = -235.5243, z = 129.5446, angle = -71.6815, collision = h0000B2
x = -322.5698, y = -235.5255, z = 130.854, angle = 130.0665, collision = h0000B2
x = -321.7418, y = -235.5094, z = 129.0169, angle = -150.7948, collision = h0000B2
x = -321.2175, y = -235.5226, z = 129.8796, angle = -143.9229, collision = h0000B2
x = -320.2622, y = -235.4934, z = 128.8561, angle = -43.3143, collision = h0000B2
x = -319.2511, y = -235.5204, z = 127.9324, angle = -94.44581, collision = h0000B2
x = -317.9185, y = -235.6533, z = 128.0422, angle = -68.19925, collision = h0000B2
x = -316.8751, y = -235.7695, z = 127.4509, angle = -19.00609, collision = h0000B2
x = -316.5044, y = -235.8555, z = 126.1332, angle = -1.046849, collision = h0000B2
x = -316.5895, y = -235.8815, z = 125.103, angle = 59.88941, collision = h0000B2
x = -317.2049, y = -235.9707, z = 124.2016, angle = -30.16666, collision = h0000B2
x = -316.5217, y = -236.0464, z = 123.055, angle = -26.3526, collision = h0000B2
x = -316.2422, y = -236.073, z = 121.8502, angle = 97.05738, collision = h0103B2
x = -316.6888, y = -236.0681, z = 120.566, angle = 22.25784, collision = h0103B2
x = -317.2331, y = -236.0608, z = 119.6075, angle = 79.1298, collision = h0103B2
x = -317.9914, y = -236.0431, z = 120.3029, angle = 120.1988, collision = h0103B2
x = -319.0492, y = -236.0184, z = 120.7825, angle = 111.3036, collision = h0103B2
x = -319.8373, y = -235.9424, z = 121.4431, angle = 158.9161, collision = h0103B2
x = -319.8091, y = -236.0606, z = 122.4909, angle = -132.8751, collision = h0103B2
x = -318.7475, y = -236.0495, z = 121.7955, angle = -114.3914, collision = h0103B2
x = -317.5002, y = -236.0717, z = 122.3677, angle = -126.1616, collision = h0103B2
x = -320.9035, y = -236.0879, z = 122.3384, angle = -8.857198, collision = h0103B2
x = -319.4958, y = -236.0299, z = 119.8366, angle = 58.23754, collision = h0103B2
x = -320.4877, y = -236.3224, z = 119.2303, angle = 58.7587, collision = h0103B2
x = -321.3827, y = -236.8265, z = 118.6566, angle = 52.36352, collision = h0103B2
x = -322.4442, y = -237.4352, z = 117.8094, angle = 50.42942, collision = h0103B2
x = -323.1593, y = -238.0118, z = 117.2318, angle = 42.79005, collision = h0103B2
x = -323.9474, y = -238.7376, z = 116.1345, angle = 11.23428, collision = h0103B2
x = -324.1181, y = -239.2297, z = 115.1003, angle = 10.0393, collision = h0103B2
x = -324.3296, y = -239.7357, z = 113.9598, angle = 2.512471, collision = h0103B2
x = -324.3908, y = -240.1818, z = 112.8004, angle = 2.991882, collision = h0103B2
x = -324.4913, y = -240.6077, z = 111.6761, angle = 11.85316, collision = h0103B2
x = -324.7719, y = -241.0421, z = 110.5382, angle = 16.07469, collision = h0103B2
x = -325.1112, y = -241.4804, z = 109.4865, angle = 22.23158, collision = h0103B2
x = -325.5835, y = -241.9574, z = 108.4285, angle = 28.45633, collision = h0103B2
x = -326.0939, y = -242.4079, z = 107.4841, angle = 30.85649, collision = h0103B2
x = -326.8067, y = -242.9264, z = 106.3015, angle = 33.78988, collision = h0103B2
x = -327.5493, y = -243.5458, z = 105.1385, angle = 34.12737, collision = h0103B2
x = -328.3701, y = -244.0803, z = 104.2709, angle = 65.89722, collision = h0103B2
x = -329.4004, y = -244.351, z = 104.8494, angle = 103.4834, collision = h0103B2
x = -330.5288, y = -244.9356, z = 105.1465, angle = 109.2926, collision = h0103B2
x = -331.4403, y = -245.5222, z = 105.4697, angle = 103.366, collision = h0103B2
x = -332.5231, y = -246.0943, z = 105.6821, angle = 99.73507, collision = h0103B2
x = -333.5444, y = -246.611, z = 105.8558, angle = 99.23216, collision = h0103B2
x = -334.7358, y = -247.0894, z = 106.0564, angle = 99.24463, collision = h0103B2
x = -336.0934, y = -247.6919, z = 106.3007, angle = 109.9724, collision = h0103B2
x = -337.3981, y = -248.3807, z = 106.7508, angle = 116.2052, collision = h0103B2
x = -338.222, y = -248.8944, z = 107.1577, angle = 134.5495, collision = h0103B2
x = -338.766, y = -249.4021, z = 107.7623, angle = 142.4139, collision = h0103B2
x = -339.3614, y = -249.8473, z = 108.7, angle = 169.2404, collision = h0103B2
x = -339.6877, y = -250.272, z = 109.8147, angle = 159.7271, collision = h0103B2
x = -339.977, y = -250.8038, z = 110.7375, angle = 171.1989, collision = h0103B2
x = -340.1837, y = -251.3751, z = 111.8194, angle = 167.5623, collision = h0103B2
x = -340.2871, y = -251.7445, z = 112.8432, angle = -174.4115, collision = h0103B2
x = -340.15, y = -252.2042, z = 113.9382, angle = -160.4681, collision = h0103B2
x = -339.6092, y = -252.6647, z = 115.0328, angle = -149.9464, collision = h0103B2
x = -339.1107, y = -252.7594, z = 116.0224, angle = 179.2028, collision = h0101B2
