x = 119.2139, y = -79.12976, z = 123.823, angle = -107.4421, collision = h0001B0
x = 118.301, y = -79.12975, z = 122.9605, angle = 22.106, collision = h0001B0
x = 117.8408, y = -79.1821, z = 121.5793, angle = -31.94116, collision = h0001B0
x = 118.5778, y = -79.18209, z = 120.5472, angle = -76.33482, collision = h0001B0
x = 120.0245, y = -79.18209, z = 120.2813, angle = -102.8484, collision = h0001B0
x = 121.3574, y = -79.18209, z = 120.5747, angle = -104.3737, collision = h0001B0
x = 122.7162, y = -79.18209, z = 120.9332, angle = -149.8822, collision = h0001B0
x = 123.477, y = -79.14872, z = 121.8758, angle = 148.0265, collision = h0001B0
x = 123.0336, y = -79.12976, z = 122.9838, angle = 110.6282, collision = h0001B0
x = 121.8775, y = -79.12976, z = 123.508, angle = 101.9245, collision = h0001B0
x = 120.4741, y = -79.12976, z = 123.8239, angle = 105.6205, collision = h0001B0
x = 118.3173, y = -79.12976, z = 124.845, angle = -155.7008, collision = h0001B0
x = 118.6963, y = -79.12976, z = 126.0284, angle = -107.5614, collision = h0001B0
x = 119.6941, y = -79.13683, z = 126.4998, angle = -104.1131, collision = h0001B0
x = 121.0362, y = -79.13554, z = 126.8385, angle = -95.9264, collision = h0001B0
x = 122.3336, y = -79.13134, z = 127.0003, angle = -82.37057, collision = h0001B0
x = 123.5358, y = -79.12976, z = 126.88, angle = -56.89217, collision = h0001B0
x = 124.6343, y = -79.12976, z = 126.2332, angle = -52.03754, collision = h0001B0
x = 125.7796, y = -79.1821, z = 125.4006, angle = -85.40785, collision = h0001B0
x = 126.8321, y = -79.1821, z = 125.2735, angle = -85.22729, collision = h0001B0
x = 128.2516, y = -79.26169, z = 125.1717, angle = -113.3135, collision = h0001B0
x = 129.4472, y = -79.61026, z = 125.5911, angle = -166.1131, collision = h0001B0
x = 129.8678, y = -79.86002, z = 126.6331, angle = -143.554, collision = h0001B0
x = 130.5562, y = -80.22595, z = 127.7126, angle = -79.11488, collision = h0001B0
x = 131.8446, y = -80.53484, z = 127.4868, angle = -30.30355, collision = h0001B0
x = 132.5572, y = -80.53302, z = 126.5839, angle = -0.7228799, collision = h0001B0
x = 132.6599, y = -80.44537, z = 125.297, angle = -13.43084, collision = h0001B0
x = 132.9195, y = -80.33571, z = 123.951, angle = -104.4482, collision = h0001B0
x = 133.9417, y = -80.68312, z = 123.9607, angle = -143.0822, collision = h0001B0
x = 134.8461, y = -81.03948, z = 125.0359, angle = -170.3727, collision = h0001B0
x = 135.1102, y = -81.14048, z = 126.2903, angle = -175.6519, collision = h0001B0
x = 135.2423, y = -81.05949, z = 127.4529, angle = -126.4384, collision = h0001B0
x = 136.1292, y = -81.38841, z = 128.3515, angle = -96.36756, collision = h0001B0
x = 137.4748, y = -81.94936, z = 128.4915, angle = -39.48105, collision = h0001B0
x = 138.3375, y = -82.28357, z = 127.7994, angle = -19.4383, collision = h0001B0
x = 138.802, y = -82.35805, z = 126.5767, angle = -21.33146, collision = h0001B0
x = 139.3429, y = -82.3996, z = 125.2913, angle = -79.53544, collision = h0001B0
x = 140.5578, y = -82.9849, z = 124.9693, angle = -137.2881, collision = h0001B0
x = 141.5048, y = -83.46953, z = 125.6959, angle = -173.1015, collision = h0001B0
x = 141.7667, y = -83.60683, z = 126.9343, angle = -177.4074, collision = h0001B0
x = 141.8262, y = -83.78796, z = 128.1262, angle = 174.0911, collision = h0001B0
x = 141.7374, y = -83.854, z = 129.4287, angle = -138.2748, collision = h0001B0
x = 142.4765, y = -84.16721, z = 130.4488, angle = -79.79586, collision = h0001B0
x = 143.5632, y = -84.43094, z = 130.4251, angle = -49.51842, collision = h0001B0
x = 144.5987, y = -84.23666, z = 129.6184, angle = -16.82875, collision = h0001B0
x = 145.0954, y = -84.68383, z = 128.3477, angle = 11.01955, collision = h0001B0
x = 144.8756, y = -84.57986, z = 127.0573, angle = -20.47588, collision = h0001B0
x = 145.0516, y = -84.40462, z = 125.8842, angle = -69.93943, collision = h0001B0
x = 146.1526, y = -84.79858, z = 125.3272, angle = -118.1575, collision = h0001B0
x = 147.2701, y = -85.3982, z = 125.7266, angle = -158.4251, collision = h0001B0
x = 147.8344, y = -85.76303, z = 126.8519, angle = -177.0793, collision = h0001B0
x = 147.9126, y = -85.88612, z = 128.2625, angle = -168.6133, collision = h0001B0
x = 148.1237, y = -85.85458, z = 129.5276, angle = -136.6235, collision = h0001B0
x = 148.8484, y = -86.00986, z = 130.3911, angle = -115.9637, collision = h0001B0
x = 150.0231, y = -86.13718, z = 131.0314, angle = -65.57808, collision = h0001B0
x = 151.2393, y = -86.44971, z = 130.563, angle = -40.74821, collision = h0001B0
x = 152.0761, y = -86.71216, z = 129.7232, angle = -24.19115, collision = h0001B0
x = 152.6336, y = -87.07227, z = 128.5627, angle = -12.75244, collision = h0001B0
x = 152.9655, y = -87.33807, z = 127.163, angle = -6.15732, collision = h0001B0
x = 153.1131, y = -87.52095, z = 126.1077, angle = -46.58125, collision = h0001B0
x = 154.0782, y = -87.74472, z = 125.0942, angle = -97.94864, collision = h0001B0
x = 155.3317, y = -87.87739, z = 125.1505, angle = -129.2605, collision = h0001B0
x = 156.2732, y = -88.13213, z = 125.8135, angle = -143.841, collision = h0001B0
x = 157.098, y = -88.22255, z = 126.863, angle = -152.949, collision = h0001B0
x = 157.7838, y = -88.05129, z = 128.0207, angle = -98.96544, collision = h0001B0
x = 158.8331, y = -88.40762, z = 128.4103, angle = -57.52354, collision = h0001B0
x = 159.963, y = -89.07104, z = 127.8004, angle = -23.5316, collision = h0001B0
x = 160.6105, y = -89.64642, z = 126.5469, angle = -7.537483, collision = h0001B0
x = 160.7773, y = -89.7016, z = 125.4801, angle = -0.2040724, collision = h0001B0
x = 160.8117, y = -89.66393, z = 124.0458, angle = 9.195183, collision = h0001B0
x = 160.6482, y = -89.57616, z = 122.7769, angle = -14.91185, collision = h0001B0
x = 160.8955, y = -89.59965, z = 121.6235, angle = -64.5915, collision = h0001B0
x = 161.9295, y = -89.95806, z = 120.9234, angle = -99.55846, collision = h0001B0
x = 163.286, y = -90.48627, z = 121.0907, angle = -133.1518, collision = h0001B0
x = 164.2011, y = -90.70972, z = 121.7118, angle = -140.6034, collision = h0001B0
x = 165.0605, y = -90.63832, z = 122.7085, angle = -115.9927, collision = h0001B0
x = 166.2587, y = -90.69929, z = 123.4014, angle = -82.1199, collision = h0001B0
x = 167.3412, y = -91.35895, z = 123.3388, angle = -57.11766, collision = h0001B0
x = 168.558, y = -91.87985, z = 122.5745, angle = -36.87336, collision = h0008B0
x = 169.3639, y = -92.15289, z = 121.5885, angle = -19.81816, collision = h0008B0
x = 169.8274, y = -92.32059, z = 120.4814, angle = -0.6022451, collision = h0008B0
x = 169.891, y = -92.21499, z = 119.1898, angle = -2.696012, collision = h0008B0
x = 170.0206, y = -92.25648, z = 117.8128, angle = -57.49391, collision = h0008B0
x = 170.8283, y = -92.506, z = 117.112, angle = -120.7162, collision = h0008B0
x = 171.9482, y = -92.94857, z = 117.6506, angle = -165.3675, collision = h0008B0
x = 172.346, y = -92.96046, z = 118.9734, angle = -168.722, collision = h0008B0
x = 172.5811, y = -92.96422, z = 120.0358, angle = -150.778, collision = h0008B0
x = 173.1767, y = -92.99617, z = 121.3338, angle = -139.1184, collision = h0008B0
x = 174.0092, y = -93.07672, z = 122.3134, angle = -104.7569, collision = h0008B0
x = 175.0943, y = -92.9882, z = 122.8026, angle = -42.83225, collision = h0008B0
