x = 224.9989, y = -383.5193, z = 89.1199, angle = -170.9049, collision = h0064B1
x = 223.5889, y = -383.5182, z = 89.31857, angle = 104.8155, collision = h0064B1
x = 222.2306, y = -383.5177, z = 89.67756, angle = 129.9207, collision = h0064B1
x = 221.2479, y = -383.4954, z = 90.59575, angle = 117.7248, collision = h0064B1
x = 220.1514, y = -383.3566, z = 91.33553, angle = 142.0217, collision = h0064B1
x = 219.9346, y = -383.0703, z = 92.60616, angle = -75.55064, collision = h0064B1
x = 221.0632, y = -383.2413, z = 92.41798, angle = -34.19206, collision = h0064B1
x = 222.5244, y = -383.5172, z = 88.40224, angle = -72.86385, collision = h0064B1
x = 223.6714, y = -383.5174, z = 87.94873, angle = -96.0573, collision = h0064B1
x = 225.0322, y = -383.5173, z = 87.97054, angle = -95.53126, collision = h0064B1
x = 226.2195, y = -383.5181, z = 88.09755, angle = -94.01343, collision = h0064B1
x = 227.6688, y = -383.5189, z = 88.20843, angle = -59.96808, collision = h0064B1
x = 228.685, y = -383.5195, z = 87.85165, angle = -54.68935, collision = h0064B1
x = 229.8328, y = -383.2098, z = 87.19807, angle = -126.1058, collision = h0064B1
x = 230.9167, y = -382.6185, z = 87.62829, angle = 152.7974, collision = h0064B1
x = 230.8458, y = -382.7097, z = 88.8653, angle = 127.361, collision = h0064B1
x = 229.9005, y = -383.2707, z = 89.83585, angle = 81.90109, collision = h0064B1
x = 228.6037, y = -383.5215, z = 89.75005, angle = 76.77542, collision = h0064B1
x = 227.2415, y = -383.5197, z = 89.45184, angle = 75.40487, collision = h0064B1
x = 226.0688, y = -383.5198, z = 89.28867, angle = 150.8755, collision = h0064B1
x = 225.4397, y = -383.5205, z = 90.38791, angle = -141.2793, collision = h0064B1
x = 226.0072, y = -383.521, z = 91.25537, angle = -127.5274, collision = h0064B1
x = 226.8948, y = -383.5213, z = 92.00694, angle = -103.7284, collision = h0064B1
x = 228.1698, y = -383.5231, z = 92.42295, angle = -100.6485, collision = h0064B1
x = 229.4475, y = -383.528, z = 92.66447, angle = -91.98744, collision = h0064B1
x = 230.5934, y = -383.4716, z = 92.82845, angle = -72.54222, collision = h0064B1
x = 231.8184, y = -383.4573, z = 92.56824, angle = -55.93708, collision = h0064B1
x = 233.0273, y = -383.3784, z = 91.83871, angle = -120.3433, collision = h0064B1
x = 234.1541, y = -383.4675, z = 92.21075, angle = -126.6318, collision = h0064B1
x = 235.2528, y = -383.534, z = 93.03332, angle = -92.43315, collision = h0064B1
x = 236.6249, y = -383.5224, z = 93.22862, angle = -59.46837, collision = h0064B1
