# Upper
x = -50.26352, y = -136.5, z = 50.94548, angle = -95, collision = h0001B0_0000
x = -50.8013, y = -136.5, z = 50.06162, angle = 92.22265, collision = h0001B0_0000
x = -51.43892, y = -136.5, z = 51.0909, angle = -177.1535, collision = h0001B0_0000
x = -51.34407, y = -136.5, z = 52.40965, angle = -155.8182, collision = h0001B0_0000
x = -50.98481, y = -136.5, z = 53.74295, angle = 124.8395, collision = h0001B0_0000
x = -52.07984, y = -136.5, z = 54.26053, angle = 77.49027, collision = h0001B0_0000
x = -53.54467, y = -136.5, z = 54.01661, angle = 110.418, collision = h0001B0_0000
x = -54.80192, y = -136.5, z = 54.41025, angle = 79.93299, collision = h0001B0_0000
x = -56.24244, y = -136.5, z = 54.14382, angle = 80.6356, collision = h0001B0_0000
x = -57.48174, y = -136.5, z = 53.74683, angle = 49.65138, collision = h0001B0_0000
x = -56.9935, y = -136.5, z = 54.87063, angle = 143.6755, collision = h0001B0_0000
x = -58.05906, y = -136.5, z = 55.13819, angle = 100.3158, collision = h0001B0_0000
x = -58.7803, y = -136.5, z = 56.05851, angle = 166.5399, collision = h0001B0_0000
x = -59.19744, y = -136.5, z = 57.30017, angle = 98.09024, collision = h0001B0_0000
x = -58.39749, y = -136.5, z = 58.1043, angle = -105.0001, collision = h0001B0_0000
x = -57.27964, y = -136.8351, z = 58.40413, angle = -105.5221, collision = h0001B0_0000
x = -56.30556, y = -137.3709, z = 58.67122, angle = -98.76451, collision = h0001B0_0000
x = -55.31301, y = -137.8862, z = 58.84293, angle = -84.72973, collision = h0001B0_0000
x = -54.31807, y = -138.4089, z = 58.76994, angle = -75.6721, collision = h0001B0_0000
x = -53.03497, y = -139.0905, z = 58.44942, angle = -68.02885, collision = h0001B0_0000
x = -51.76411, y = -139.8089, z = 58.01682, angle = -150.6569, collision = h0001B0_0000
x = -51.04366, y = -140.1, z = 59.1351, angle = 125.9571, collision = h0001B0_0000
x = -52.01638, y = -140.1, z = 60.00269, angle = 92.7981, collision = h0001B0_0000
x = -53.44436, y = -140.1, z = 59.94122, angle = 83.13535, collision = h0001B0_0000
x = -54.72547, y = -140.1, z = 59.94669, angle = 85.0956, collision = h0001B0_0000
x = -56.20758, y = -140.1, z = 59.88491, angle = 77.21673, collision = h0001B0_0000
x = -57.50499, y = -140.1, z = 59.6441, angle = 80.58309, collision = h0001B0_0000
x = -58.97402, y = -140.1, z = 59.40887, angle = 84.84138, collision = h0001B0_0000
x = -60.06015, y = -140.1, z = 59.70081, angle = -137.1059, collision = h0001B0_0000
x = -50.60561, y = -140.1, z = 58.21438, angle = 19.71193, collision = h0001B0_0000
x = -50.83088, y = -140.1, z = 57.11891, angle = -30.6637, collision = h0001B0_0000
x = -50.02385, y = -140.1, z = 56.1761, angle = -39.44109, collision = h0001B0_0000
x = -48.95543, y = -140.1, z = 55.1522, angle = -41.64334, collision = h0001B0_0000
x = -48.1651, y = -140.1, z = 54.10691, angle = -14.09557, collision = h0001B0_0000
x = -47.46439, y = -140.0245, z = 52.95691, angle = -9.064617, collision = h0001B0_0000
x = -47.30431, y = -140.1, z = 51.86922, angle = -9.064617, collision = h0001B0_0000
x = -47.09909, y = -139.9883, z = 50.62245, angle = 61.30194, collision = h0001B0_0000
x = -49.48356, y = -140.1172, z = 58.43575, angle = -39.19865, collision = h0001B0_0000
x = -48.51516, y = -140.7891, z = 57.30835, angle = -40.10269, collision = h0001B0_0000
x = -47.6629, y = -141.423, z = 56.29683, angle = -40.33413, collision = h0001B0_0000
x = -46.70016, y = -142.1126, z = 55.16219, angle = -35.70197, collision = h0001B0_0000
x = -46.02561, y = -142.652, z = 54.22321, angle = -26.79169, collision = h0001B0_0000
x = -45.49722, y = -143.187, z = 53.17498, angle = -16.72771, collision = h0001B0_0000
x = -45.12126, y = -143.7948, z = 51.90522, angle = -7.36472, collision = h0001B0_0000
x = -44.96158, y = -144.2, z = 50.42788, angle = -0.9824817, collision = h0001B0_0000
x = -44.97381, y = -144.2, z = 49.10715, angle = 17.04662, collision = h0001B0_0000
x = -44.91398, y = -144.1517, z = 48.08358, angle = 26.22349, collision = h0001B0_0000
x = -43.70144, y = -144.2, z = 50.29662, angle = -88.55999, collision = h0001B0_0000
x = -42.36415, y = -144.2, z = 50.06943, angle = -36.47067, collision = h0002B0_0000
x = -41.68634, y = -144.2064, z = 49.13517, angle = -28.62, collision = h0002B0_0000
x = -41.99717, y = -144.2709, z = 48.17638, angle = 18.7319, collision = h0002B0_0000
x = -42.42329, y = -144.4639, z = 46.95477, angle = -30.72983, collision = h0002B0_0000
x = -42.12406, y = -144.898, z = 45.82655, angle = -53.97075, collision = h0002B0_0000
x = -40.67395, y = -145.0865, z = 46.68774, angle = -57.2202, collision = h0002B0_0000
x = -39.40211, y = -145.1075, z = 46.19301, angle = -75.05981, collision = h0002B0_0000
x = -38.26044, y = -145.0332, z = 45.68967, angle = -32.41792, collision = h0002B0_0000
x = -37.03979, y = -145.1106, z = 46.07876, angle = -70.95985, collision = h0002B0_0000
x = -35.85969, y = -145.1674, z = 45.55661, angle = -20.62616, collision = h0002B0_0000
x = -35.24325, y = -145.0532, z = 44.20798, angle = -31.69385, collision = h0002B0_0000
x = -34.84806, y = -145.0322, z = 43.28003, angle = 7.408925, collision = h0002B0_0000
x = -35.03195, y = -145.0271, z = 42.10369, angle = 6.619642, collision = h0002B0_0000
x = -35.17151, y = -145.0047, z = 40.98754, angle = 1.973952, collision = h0002B0_0000
x = -35.16118, y = -144.8741, z = 39.51064, angle = -37.60919, collision = h0002B0_0000
x = -34.38888, y = -145.0279, z = 38.45823, angle = -41.6792, collision = h0002B0_0000
x = -33.90978, y = -145.1203, z = 39.56654, angle = -155.2799, collision = h0002B0_0000
x = -33.26228, y = -145.1683, z = 40.47463, angle = -136.7337, collision = h0002B0_0000
x = -32.48518, y = -145.2084, z = 41.3453, angle = -141.9835, collision = h0002B0_0000
x = -31.68878, y = -145.2544, z = 42.39445, angle = -143.3506, collision = h0002B0_0000
x = -30.90933, y = -145.9518, z = 43.65183, angle = -166.0065, collision = h0002B0_0000
x = -30.58508, y = -146.5426, z = 44.89843, angle = -172.7782, collision = h0002B0_0000
x = -30.31871, y = -147.183, z = 46.21342, angle = -159.2228, collision = h0002B0_0000
x = -29.899, y = -147.7431, z = 47.321, angle = -161.3753, collision = h0002B0_0000
x = -29.53421, y = -148.2994, z = 48.43535, angle = -171.2386, collision = h0002B0_0000
x = -29.34908, y = -148.8651, z = 49.60765, angle = -172.2106, collision = h0002B0_0000
x = -29.08579, y = -149.5804, z = 51.0896, angle = -156.3266, collision = h0002B0_0000
x = -28.73808, y = -150.043, z = 52.05264, angle = -173.2959, collision = h0002B0_0000
x = -28.65772, y = -150.5255, z = 53.09511, angle = 170.5608, collision = h0002B0_0000
x = -28.8903, y = -151.0462, z = 54.18913, angle = 160.0709, collision = h0002B0_0000
x = -34.01803, y = -145.0845, z = 41.20385, angle = 102.9888, collision = h0002B0_0000
x = -34.15643, y = -145.2, z = 44.78632, angle = 172.2348, collision = h0002B0_0000
x = -34.29039, y = -145.2, z = 45.85803, angle = -175.129, collision = h0002B0_0000
