x = 1046.643, y = -330, z = 855.022, angle = -173.3502, collision = h0100B1
x = 1045.272, y = -330, z = 854.7921, angle = 23.89304, collision = h0100B1
x = 1044.855, y = -329.8636, z = 853.6442, angle = -81.70088, collision = h0100B1
x = 1046.016, y = -329.6213, z = 853.5162, angle = -139.1738, collision = h0100B1
x = 1047.635, y = -330, z = 854.757, angle = -118.28, collision = h0100B1
x = 1048.822, y = -330, z = 855.3335, angle = -112.3126, collision = h0100B1
x = 1049.685, y = -330, z = 856.1431, angle = 152.0781, collision = h0100B1
x = 1048.81, y = -330, z = 857.0142, angle = 71.90956, collision = h0100B1
x = 1047.618, y = -330, z = 856.6422, angle = 70.78175, collision = h0100B1
x = 1046.603, y = -330, z = 856.2646, angle = 39.46524, collision = h0100B1
x = 1044.713, y = -330, z = 855.6375, angle = 160.8848, collision = h0100B1
x = 1044.351, y = -330, z = 857.0374, angle = -121.4552, collision = h0100B1
x = 1045.323, y = -330, z = 857.8054, angle = -111.9448, collision = h0100B1
x = 1046.675, y = -330, z = 858.3804, angle = -115.5786, collision = h0100B1
x = 1047.973, y = -330, z = 859.0275, angle = 171.7014, collision = h0100B1
x = 1047.955, y = -330, z = 860.1485, angle = 94.76746, collision = h0100B1
x = 1046.504, y = -330, z = 860.2385, angle = 72.38362, collision = h0100B1
x = 1045.242, y = -330, z = 859.8416, angle = 69.56122, collision = h0100B1
x = 1043.87, y = -330, z = 859.3702, angle = 110.8324, collision = h0100B1
x = 1042.712, y = -330, z = 859.9532, angle = 166.6592, collision = h0100B1
x = 1042.559, y = -330, z = 861.1799, angle = -99.10408, collision = h0100B1
x = 1043.944, y = -330, z = 861.5465, angle = -94.84944, collision = h0100B1
x = 1045.387, y = -330, z = 861.695, angle = -97.23061, collision = h0100B1
x = 1046.809, y = -330, z = 861.8604, angle = -131.98, collision = h0100B1
x = 1047.844, y = -330, z = 862.6829, angle = -160.4866, collision = h0100B1
x = 1047.962, y = -330, z = 863.9573, angle = 109.8873, collision = h0100B1
x = 1046.76, y = -330, z = 864.3907, angle = 90.43243, collision = h0100B1
x = 1045.685, y = -330, z = 864.4354, angle = 75.60995, collision = h0100B1
x = 1044.44, y = -330, z = 864.1125, angle = 73.92477, collision = h0100B1
x = 1043.041, y = -330, z = 863.7495, angle = 104.4924, collision = h0100B1
x = 1041.757, y = -330, z = 864.2839, angle = 176.8952, collision = h0100B1
x = 1041.747, y = -330.082, z = 865.4968, angle = -123.5931, collision = h0100B1
x = 1042.578, y = -330.3146, z = 866.1407, angle = -114.0518, collision = h0100B1
x = 1043.896, y = -330.4283, z = 866.7, angle = -113.5901, collision = h0100B1
x = 1045.038, y = -330.5385, z = 867.2057, angle = -148.7761, collision = h0100B1
x = 1045.827, y = -331.0699, z = 868.3798, angle = -176.1366, collision = h0100B1
x = 1045.929, y = -331.7724, z = 869.6798, angle = -174.0625, collision = h0100B1
x = 1046.016, y = -332, z = 870.7817, angle = 149.0652, collision = h0100B1
x = 1045.273, y = -332, z = 871.9211, angle = 86.62679, collision = h0100B1
x = 1044.239, y = -332, z = 871.686, angle = -34.78215, collision = h0100B1
x = 1044.981, y = -332, z = 870.4574, angle = -25.69581, collision = h0100B1
x = 1044.728, y = -331.2697, z = 868.4473, angle = 84.49657, collision = h0100B1
x = 1043.592, y = -331.4722, z = 868.5099, angle = 170.3698, collision = h0100B1
x = 1043.352, y = -332, z = 869.4122, angle = -173.434, collision = h0100B1
x = 1043.283, y = -332, z = 870.8936, angle = 109.712, collision = h0100B1
x = 1042.079, y = -332, z = 871.3535, angle = 41.61812, collision = h0100B1
x = 1041.138, y = -332, z = 870.3755, angle = 22.42559, collision = h0100B1
x = 1040.504, y = -332, z = 869.2445, angle = 111.1586, collision = h0100B1
x = 1039.511, y = -332, z = 869.4821, angle = 179.9036, collision = h0100B1
x = 1039.318, y = -332, z = 870.7215, angle = 164.0652, collision = h0100B1
x = 1038.967, y = -332, z = 872.1156, angle = -160.2816, collision = h0100B1
x = 1039.217, y = -332, z = 873.1343, angle = -147.0277, collision = h0100B1
x = 1040.157, y = -332, z = 874.0434, angle = -109.5513, collision = h0100B1
x = 1041.4, y = -332, z = 874.6095, angle = -131.6204, collision = h0100B1
