x = -19.71554, y = 48.91821, z = 954.4495, angle = 20, collision = h0100B0_0000
x = -19.25428, y = 48.37947, z = 955.0898, angle = -133.5209, collision = h0100B0_0000
x = -18.59639, y = 47.86628, z = 955.4427, angle = -115.6716, collision = h0100B0_0000
x = -17.83389, y = 47.32943, z = 955.9296, angle = -122.0391, collision = h0100B0_0000
x = -17.05652, y = 46.77284, z = 956.5341, angle = -107.8316, collision = h0100B0_0000
x = -16.28053, y = 46.19952, z = 956.9402, angle = -115.0528, collision = h0100B0_0000
x = -15.09195, y = 45.62124, z = 957.5446, angle = -127.8957, collision = h0000B0
x = -13.9507, y = 45.46172, z = 958.4105, angle = -127.9259, collision = h0000B0
x = -12.82074, y = 45.02985, z = 959.2917, angle = -134.2594, collision = h0100B0_0000
x = -11.92881, y = 44.40853, z = 960.1978, angle = -153.3522, collision = h0100B0_0000
x = -11.42893, y = 43.80827, z = 961.1794, angle = -151.3108, collision = h0100B0_0000
x = -10.97256, y = 43.30383, z = 962.0186, angle = -152.284, collision = h0100B0_0000
x = -10.53646, y = 42.69058, z = 962.8681, angle = -156.4959, collision = h0100B0_0000
x = -10.16628, y = 42.10516, z = 963.7477, angle = -162.8101, collision = h0100B0_0000
x = -9.840922, y = 41.57674, z = 964.7568, angle = -157.4642, collision = h0100B0_0000
x = -9.406878, y = 41.02961, z = 965.7784, angle = -139.7947, collision = h0100B0_0000
x = -8.731928, y = 40.46163, z = 966.6806, angle = -138.0808, collision = h0100B0_0000
x = -7.30755, y = 39.73739, z = 967.5527, angle = -130.6762, collision = h0000B0
x = -6.193793, y = 39.32882, z = 968.444, angle = -124.1449, collision = h0100B0_0000
x = -5.281567, y = 38.86786, z = 969.1238, angle = -131.7442, collision = h0100B0_0000
x = -4.555972, y = 38.20456, z = 969.7446, angle = -131.6424, collision = h0100B0_0000
x = -3.842411, y = 37.58294, z = 970.3798, angle = -136.71, collision = h0100B0_0000
x = -3.276524, y = 37.05424, z = 970.9428, angle = -149.6407, collision = h0100B0_0000
x = -2.890119, y = 36.55214, z = 971.7639, angle = -152.149, collision = h0100B0_0000
x = -2.288383, y = 35.86747, z = 973.0496, angle = -152.0262, collision = h0100B0_0000
x = -1.767043, y = 35.25611, z = 974.0312, angle = -148.5657, collision = h0100B0_0000
x = -1.333709, y = 34.65218, z = 974.7144, angle = -151.4157, collision = h0100B0_0000
x = -0.8649588, y = 33.99708, z = 975.5474, angle = -159.0812, collision = h0100B0_0000
x = -0.3241682, y = 33.49318, z = 976.8741, angle = -157.4632, collision = h0000B0
x = 0.07046436, y = 33.21414, z = 977.9764, angle = -171.5809, collision = h0000B0
x = 0.1225499, y = 33.12897, z = 979.0733, angle = -177.6929, collision = h0001B0
x = 0.1698619, y = 32.99829, z = 980.2208, angle = -177.6599, collision = h0001B0
x = 0.2209873, y = 32.6114, z = 981.4401, angle = -177.6482, collision = h0001B0
x = 0.2345322, y = 32.15469, z = 982.8715, angle = 176.2671, collision = h0001B0
x = 0.1388994, y = 31.80298, z = 984.3012, angle = 175.4547, collision = h0001B0
x = 0.02332092, y = 31.53668, z = 985.7202, angle = -176.9645, collision = h0001B0
x = 0.06061669, y = 31.27841, z = 987.1508, angle = -178.5119, collision = h0001B0
x = 0.1053357, y = 31.03131, z = 988.4266, angle = -179.2687, collision = h0001B0
x = 0.1251795, y = 30.73705, z = 989.8594, angle = -179.1493, collision = h0001B0
x = 0.1353394, y = 30.59216, z = 991.2922, angle = 179.5334, collision = h0001B0
x = 0.1233705, y = 30.49278, z = 992.725, angle = 179.4291, collision = h0001B0
x = 0.1065575, y = 30.37731, z = 994.1578, angle = 175.6843, collision = h0001B0
x = -1.042992, y = 33.48766, z = 977.6736, angle = 57.81924, collision = h0000B0
x = -2.98522, y = 36.23242, z = 973.8233, angle = 149.9222, collision = h0000B0
x = -3.593534, y = 36.25171, z = 974.9209, angle = 130.7184, collision = h0000B0
x = -4.418271, y = 36.33292, z = 975.6492, angle = 113.1727, collision = h0000B0
x = -4.868864, y = 36.05199, z = 976.7458, angle = 130.7773, collision = h0000B0
x = -5.249236, y = 34.33564, z = 978.0037, angle = 146.8033, collision = h0000B0
x = -6.110501, y = 34.02023, z = 978.7605, angle = 99.13645, collision = h0000B0
x = -7.122062, y = 33.98492, z = 979.026, angle = 56.70069, collision = h0000B0
x = -4.08669, y = 34.61295, z = 977.8113, angle = -60.19302, collision = h0000B0
x = -3.08816, y = 34.63369, z = 977.4385, angle = -61.42847, collision = h0000B0
x = -11.36486, y = 42.8018, z = 963.8647, angle = 165.1556, collision = h0000B0
x = -11.54648, y = 42.57914, z = 965.0873, angle = -179.9483, collision = h0000B0
x = -11.65229, y = 42.43077, z = 966.1725, angle = 152.7849, collision = h0000B0
x = -12.30851, y = 42.42312, z = 966.9847, angle = -166.5945, collision = h0000B0
x = -11.41276, y = 41.78156, z = 968.4124, angle = -148.5168, collision = h0000B0
x = -10.89709, y = 41.72742, z = 969.3132, angle = -152.3303, collision = h0000B0
x = -9.998939, y = 41.6452, z = 969.9775, angle = -123.2232, collision = h0000B0
x = -9.614657, y = 41.03806, z = 971.2175, angle = 168.2248, collision = h0000B0
x = -9.96269, y = 40.59474, z = 972.2231, angle = 136.9732, collision = h0000B0
x = -11.05808, y = 40.59436, z = 972.562, angle = 73.31364, collision = h0000B0
x = -11.91084, y = 41.71881, z = 969.8018, angle = 29.3327, collision = h0000B0
x = -12.50511, y = 41.73884, z = 968.9337, angle = 91.53824, collision = h0000B0
x = -13.61231, y = 41.89221, z = 968.8288, angle = 57.87908, collision = h0002B0
x = -14.39638, y = 42.18438, z = 968.0675, angle = 52.87905, collision = h0002B0
x = -15.33494, y = 42.3615, z = 967.4213, angle = 70.59062, collision = h0002B0
x = -16.26877, y = 42.44426, z = 967.0486, angle = 64.7663, collision = h0002B0
x = -17.27624, y = 42.52135, z = 966.9152, angle = 62.2368, collision = h0002B0
x = -18.24501, y = 42.56923, z = 966.2396, angle = 51.99284, collision = h0002B0
x = -19.26633, y = 42.69601, z = 965.8166, angle = 60.63929, collision = h0002B0
x = -20.25212, y = 42.96375, z = 965.3372, angle = 54.86138, collision = h0002B0
x = -21.3505, y = 43.42716, z = 964.6688, angle = 60.55098, collision = h0002B0
x = -22.60106, y = 43.73298, z = 963.9716, angle = 48.20895, collision = h0002B0
x = -23.66702, y = 44.092, z = 963.0325, angle = 43.35621, collision = h0002B0
x = -24.86699, y = 44.68297, z = 962.5189, angle = 125.4148, collision = h0002B0
x = -24.99639, y = 45.19806, z = 961.3244, angle = -16.78229, collision = h0002B0
x = -24.48936, y = 45.70059, z = 959.9954, angle = -61.75808, collision = h0002B0
x = -23.47743, y = 45.97357, z = 959.699, angle = -131.9154, collision = h0002B0
x = -22.52886, y = 46.40996, z = 960.0713, angle = -112.6729, collision = h0000B0
x = -21.44584, y = 46.57889, z = 960.457, angle = -85.56877, collision = h0000B0
x = -20.2848, y = 46.8473, z = 960.3336, angle = -73.03852, collision = h0000B0
x = -19.32681, y = 47.19125, z = 959.7043, angle = 2.022433, collision = h0000B0
x = -18.23037, y = 47.59357, z = 958.6823, angle = -13.02498, collision = h0000B0
x = -17.98784, y = 47.66543, z = 957.5277, angle = -15.50445, collision = h0000B0
x = -20.27284, y = 49.55994, z = 953.6067, angle = 35.33139, collision = h0100B0_0000
x = -20.82042, y = 50.1703, z = 952.8241, angle = 23.30432, collision = h0100B0_0000
x = -21.23529, y = 50.72193, z = 951.965, angle = 44.25592, collision = h0100B0_0000
x = -21.85887, y = 51.28753, z = 951.2449, angle = 46.22083, collision = h0100B0_0000
x = -22.4302, y = 51.36069, z = 950.2362, angle = 22.75199, collision = h0003B0
x = -23.0362, y = 51.44617, z = 948.9407, angle = 67.1376, collision = h0003B0
x = -24.33198, y = 51.62138, z = 948.4557, angle = 73.47893, collision = h0003B0
x = -25.61355, y = 51.81672, z = 947.9081, angle = -12.09928, collision = h0003B0
x = -25.22067, y = 51.75518, z = 946.7898, angle = -72.92684, collision = h0003B0
x = -24.04391, y = 51.77254, z = 946.33, angle = -50.18811, collision = h0003B0
x = -23.03823, y = 52.08856, z = 945.3392, angle = -36.24996, collision = h0003B0
x = -22.30778, y = 52.35421, z = 944.2985, angle = 40.61225, collision = h0003B0
x = -22.59387, y = 52.56947, z = 943.1611, angle = -6.261617, collision = h0004B0
x = -22.41543, y = 52.85049, z = 941.7677, angle = -27.46591, collision = h0004B0
x = -21.90527, y = 53.16001, z = 940.5969, angle = 25.27248, collision = h0004B0
x = -22.4088, y = 53.22424, z = 939.6335, angle = 114.3951, collision = h0004B0
x = -23.02363, y = 52.94352, z = 940.5851, angle = 166.9967, collision = h0004B0
x = -23.52534, y = 52.67519, z = 941.8994, angle = 154.3857, collision = h0004B0
x = -24.02176, y = 52.39631, z = 943.0868, angle = 167.3019, collision = h0003B0
x = -24.3989, y = 52.08243, z = 944.4617, angle = 102.9854, collision = h0003B0
x = -25.66306, y = 52.02243, z = 944.5966, angle = 34.51896, collision = h0003B0
x = -26.48588, y = 52.18631, z = 943.4329, angle = 53.64376, collision = h0003B0
x = -27.5959, y = 52.52981, z = 942.5295, angle = 59.82292, collision = h0004B0
x = -28.86535, y = 53.04392, z = 941.9032, angle = 75.39665, collision = h0004B0
x = -26.55427, y = 52.50017, z = 941.4874, angle = -21.43393, collision = h0004B0
x = -26.00695, y = 52.9953, z = 940.4789, angle = -16.88322, collision = h0004B0
x = -25.69583, y = 53.53683, z = 939.5084, angle = 38.43912, collision = h0004B0
x = -26.43966, y = 54.26156, z = 938.4538, angle = 26.37987, collision = h0004B0
x = -26.95652, y = 54.83413, z = 937.5351, angle = -10.48072, collision = h0004B0
x = -26.9684, y = 55.57773, z = 936.2902, angle = 3.186215, collision = h0004B0
x = -26.88789, y = 56.25173, z = 935.2339, angle = 7.678321, collision = h0004B0
x = -27.07217, y = 56.70212, z = 933.9357, angle = -1.171897, collision = h0004B0
x = -25.94003, y = 56.70213, z = 933.7467, angle = -86.46946, collision = h0004B0
x = -24.78246, y = 56.73333, z = 933.664, angle = -92.00052, collision = h0004B0
x = -23.84949, y = 56.82331, z = 934.0277, angle = -162.5562, collision = h0004B0
x = -23.50379, y = 56.91787, z = 935.3738, angle = -159.9996, collision = h0004B0
x = -22.4712, y = 57.03061, z = 935.4449, angle = 1.639355, collision = h0004B0
x = -24.11208, y = 56.72063, z = 932.6227, angle = -19.04735, collision = h0004B0
x = -23.82839, y = 56.70213, z = 931.5812, angle = -32.43621, collision = h0004B0
x = -23.28434, y = 56.70213, z = 930.6636, angle = -9.501148, collision = h0004B0
x = -23.44044, y = 56.70213, z = 929.5414, angle = 90.73262, collision = h0004B0
x = -24.92209, y = 56.70212, z = 929.2507, angle = 52.76077, collision = h0004B0
x = -25.26527, y = 56.70212, z = 930.294, angle = -156.1612, collision = h0004B0
x = -25.31444, y = 56.70213, z = 932.667, angle = 122.7222, collision = h0004B0
x = -27.14731, y = 56.70211, z = 932.8966, angle = 19.89248, collision = h0004B0
x = -27.77269, y = 56.70211, z = 931.5864, angle = 35.53186, collision = h0004B0
x = -28.61347, y = 56.70212, z = 930.5766, angle = 147.3944, collision = h0004B0
x = -29.22753, y = 56.70212, z = 931.5766, angle = -155.879, collision = h0004B0
