x = 971.6805, y = -310.505, z = 569.1203, angle = 174.9162, collision = h0035B1
x = 971.6066, y = -310.758, z = 570.1887, angle = 175.3305, collision = h0035B1
x = 971.524, y = -311.1518, z = 571.2302, angle = 176.5238, collision = h0035B1
x = 971.4414, y = -311.6182, z = 572.571, angle = 179.196, collision = h0035B1
x = 971.5414, y = -312.0284, z = 573.9511, angle = -147.1921, collision = h0035B1
x = 972.3434, y = -312.3366, z = 575.1254, angle = -141.9462, collision = h0035B1
x = 973.1193, y = -312.5435, z = 576.1383, angle = -161.4306, collision = h0035B1
x = 973.556, y = -312.8925, z = 577.2637, angle = -135.1527, collision = h0035B1
x = 974.4017, y = -313.1248, z = 578.004, angle = -124.757, collision = h0035B1
x = 975.6046, y = -313.0253, z = 578.816, angle = -130.7812, collision = h0035B1
x = 976.4023, y = -313.0161, z = 579.4334, angle = -143.9745, collision = h0035B1
x = 977.0283, y = -313.0895, z = 580.5259, angle = 152.9886, collision = h0035B1
x = 976.3604, y = -313.2933, z = 581.7043, angle = 117.7218, collision = h3503B1
x = 975.1661, y = -313.4698, z = 582.419, angle = 170.1844, collision = h3503B1
x = 974.8412, y = -313.6325, z = 583.5223, angle = 176.9993, collision = h3503B1
x = 973.9979, y = -313.8568, z = 582.8607, angle = -1.743297, collision = h3503B1
x = 973.5148, y = -313.8219, z = 581.6559, angle = 91.7934, collision = h0035B1
x = 972.1982, y = -313.9177, z = 581.6175, angle = 90.78222, collision = h0035B1
x = 970.7104, y = -313.8785, z = 581.6453, angle = 90.30416, collision = h0035B1
x = 969.4186, y = -313.6641, z = 581.4667, angle = 57.99918, collision = h0035B1
x = 968.1821, y = -313.3251, z = 581.067, angle = 131.1098, collision = h0035B1
x = 967.3999, y = -313.2507, z = 582.1586, angle = -158.9078, collision = h0035B1
x = 967.5558, y = -313.3355, z = 583.4401, angle = -163.6967, collision = h0035B1
x = 968.3221, y = -313.3965, z = 584.3847, angle = -61.90022, collision = h3503B1
