x = 87.86724, y = 13.22756, z = 118.8088, angle = -178.0423, collision = h0001B0_0000
x = 87.86261, y = 13.22684, z = 120.0655, angle = 179.9471, collision = h0001B0_0000
x = 87.86196, y = 13.22602, z = 121.4984, angle = -179.7986, collision = h0001B0_0000
x = 87.86942, y = 13.22517, z = 122.9781, angle = -179.4579, collision = h0001B0_0000
x = 87.88003, y = 13.22451, z = 124.1345, angle = -179.1832, collision = h0001B0_0000
x = 87.89869, y = 13.22375, z = 125.4734, angle = -178.8835, collision = h0001B0_0000
x = 87.92294, y = 13.22301, z = 126.7548, angle = -178.588, collision = h0001B0_0000
x = 87.95439, y = 13.22227, z = 128.0511, angle = 177.143, collision = h0001B0_0000
x = 87.91407, y = 13.22163, z = 129.1764, angle = 177.0799, collision = h0001B0_0000
x = 87.85033, y = 13.22091, z = 130.4285, angle = 176.8098, collision = h0001B0_0000
x = 87.77338, y = 13.22011, z = 131.8197, angle = 177.7848, collision = h0001B0_0000
x = 87.73571, y = 13.21941, z = 133.0532, angle = -178.7821, collision = h0001B0_0000
x = 87.76747, y = 13.21861, z = 134.4421, angle = -178.6312, collision = h0001B0_0000
x = 87.79668, y = 13.21791, z = 135.6756, angle = -178.3632, collision = h0001B0_0000
x = 87.82935, y = 13.21713, z = 137.0406, angle = -178.9654, collision = h0001B0_0000
x = 87.85147, y = 13.21641, z = 138.2977, angle = -178.7133, collision = h0001B0_0000
x = 87.88089, y = 13.21565, z = 139.6236, angle = -178.4727, collision = h0001B0_0000
x = 87.90874, y = 13.21503, z = 140.7007, angle = -178.2822, collision = h0001B0_0000
x = 87.94608, y = 13.21431, z = 141.9603, angle = -178.0541, collision = h0001B0_0000
x = 87.99243, y = 13.21352, z = 143.3415, angle = -179.201, collision = h0001B0_0000
x = 88.01105, y = 13.21281, z = 144.5854, angle = 179.984, collision = h0001B0_0000
x = 88.01579, y = 13.21201, z = 145.9789, angle = 179.0298, collision = h0001B0_0000
x = 88.00132, y = 13.2113, z = 147.2104, angle = 178.8452, collision = h0001B0_0000
x = 87.97375, y = 13.21051, z = 148.5922, angle = 178.5632, collision = h0001B0_0000
x = 87.93658, y = 13.2098, z = 149.8334, angle = 178.2406, collision = h0001B0_0000
x = 87.8956, y = 13.20903, z = 151.1835, angle = 177.9074, collision = h0001B0_0000
x = 87.84995, y = 13.2083, z = 152.453, angle = 177.5935, collision = h0001B0_0000
x = 87.80614, y = 13.20769, z = 153.518, angle = 177.328, collision = h0001B0_0000
x = 87.744, y = 13.20692, z = 154.8675, angle = 177.0125, collision = h0001B0_0000
x = 87.69556, y = 13.2062, z = 156.1242, angle = -179.5244, collision = h0001B0_0000
x = 87.71126, y = 13.2054, z = 157.5156, angle = -178.8954, collision = h0001B0_0000
x = 87.73485, y = 13.2047, z = 158.7533, angle = -178.5859, collision = h0001B0_0000
x = 87.76868, y = 13.2039, z = 160.1444, angle = -178.6652, collision = h0001B0_0000
x = 87.80144, y = 13.20319, z = 161.3761, angle = -177.864, collision = h0001B0_0000
x = 87.85066, y = 13.20241, z = 162.7502, angle = -177.4826, collision = h0001B0_0000
x = 87.89311, y = 13.20182, z = 163.7776, angle = -177.1725, collision = h0001B0_0000
x = 87.95463, y = 13.20108, z = 165.0711, angle = -178.1609, collision = h0001B0_0000
x = 88.00394, y = 13.61679, z = 166.3985, angle = -177.9078, collision = h0001B0_0000
x = 88.0418, y = 14.2169, z = 167.448, angle = -178.1279, collision = h0001B0_0000
x = 88.06902, y = 14.76289, z = 168.4029, angle = -178.8121, collision = h0001B0_0000
x = 88.09173, y = 15.28895, z = 169.3229, angle = -178.3617, collision = h0001B0_0000
x = 88.08973, y = 15.59968, z = 170.329, angle = 179.1209, collision = h0001B0_0000
x = 88.07253, y = 15.59968, z = 171.4099, angle = -174.2833, collision = h0001B0_0000
x = 89.25008, y = 15.59968, z = 171.6792, angle = -68.83754, collision = h0001B0_0000
x = 90.44968, y = 15.59968, z = 171.2449, angle = -80.74174, collision = h0001B0_0000
x = 91.84895, y = 15.59968, z = 171.1703, angle = -126.0544, collision = h0001B0_0000
x = 92.79273, y = 15.59968, z = 172.1222, angle = 172.465, collision = h0001B0_0000
x = 92.53172, y = 15.59968, z = 173.5036, angle = 102.5952, collision = h0001B0_0000
x = 91.50583, y = 15.59968, z = 173.6814, angle = 33.45484, collision = h0001B0_0000
x = 90.78637, y = 15.59968, z = 172.5659, angle = 49.8509, collision = h0001B0_0000
x = 86.89053, y = 15.59968, z = 171.24, angle = 104.462, collision = h0001B0_0000
x = 85.5216, y = 15.59968, z = 171.6449, angle = 106.1619, collision = h0001B0_0000
x = 84.17757, y = 15.59968, z = 172.1366, angle = 159.6191, collision = h0001B0_0000
x = 84.00062, y = 15.59968, z = 173.2827, angle = -83.79799, collision = h0001B0_0000
x = 85.23458, y = 15.59968, z = 173.1802, angle = -69.40569, collision = h0001B0_0000
x = 86.56646, y = 15.60955, z = 172.6817, angle = -99.17922, collision = h0001B0_0000
x = 87.76603, y = 15.88307, z = 173.1604, angle = -178.465, collision = h0001B0_0000
x = 87.7729, y = 16.41501, z = 174.0913, angle = 137.6101, collision = h0001B0_0000
x = 86.68653, y = 16.6, z = 174.9596, angle = 107.078, collision = h0001B0_0000
x = 85.30438, y = 16.6, z = 175.321, angle = 89.71916, collision = h0001B0_0000
x = 84.05611, y = 16.6, z = 175.4544, angle = 129.7678, collision = h0001B0_0000
x = 82.94913, y = 16.6, z = 176.3497, angle = -162.2319, collision = h0001B0_0000
x = 83.43018, y = 16.6, z = 177.3048, angle = -49.05789, collision = h0001B0_0000
x = 84.48521, y = 16.6, z = 176.3945, angle = -36.245, collision = h0001B0_0000
x = 87.35339, y = 16.6, z = 175.9279, angle = -106.5734, collision = h0001B0_0000
x = 88.47308, y = 16.59999, z = 176.4549, angle = -130.9259, collision = h0001B0_0000
x = 89.58593, y = 16.59999, z = 176.2887, angle = -26.44384, collision = h0001B0_0000
x = 90.52238, y = 16.59999, z = 175.3853, angle = -118.7164, collision = h0001B0_0000
x = 91.77767, y = 16.59999, z = 176.0412, angle = -106.0816, collision = h0001B0_0000
x = 93.09386, y = 16.59999, z = 176.5854, angle = -58.72102, collision = h0001B0_0000
x = 93.4884, y = 16.59999, z = 175.6583, angle = 103.1534, collision = h0001B0_0000
x = 88.90604, y = 16.59999, z = 175.4315, angle = 149.6544, collision = h0001B0_0000
x = 92, y = 16.60002, z = 182.4, angle = 0, collision = h0002B0_0000
x = 92.57234, y = 16.60002, z = 181.4551, angle = 10.01694, collision = h0002B0_0000
x = 92.18251, y = 16.60002, z = 180.4785, angle = 42.54772, collision = h0002B0_0000
x = 91.34698, y = 16.60002, z = 179.8851, angle = 74.57621, collision = h0002B0_0000
x = 89.99624, y = 16.60002, z = 179.5094, angle = 78.50182, collision = h0002B0_0000
x = 88.58749, y = 16.60002, z = 179.3085, angle = 92.70591, collision = h0002B0_0000
x = 87.31197, y = 16.60002, z = 179.3647, angle = 115.9821, collision = h0002B0_0000
x = 85.92126, y = 16.60002, z = 179.947, angle = 84.85823, collision = h0002B0_0000
x = 84.74728, y = 16.60002, z = 179.9425, angle = 74.47674, collision = h0002B0_0000
x = 83.52751, y = 16.60002, z = 179.6275, angle = 164.5436, collision = h0002B0_0000
x = 84.10172, y = 16.60002, z = 180.8549, angle = -98.33945, collision = h0002B0_0000
x = 85.42368, y = 16.60002, z = 181.1645, angle = -94.046, collision = h0002B0_0000
x = 86.89315, y = 16.60002, z = 181.2901, angle = -167.9613, collision = h0002B0_0000
x = 87.83888, y = 16.60002, z = 181.8751, angle = 166.7897, collision = h0002B0_0000
x = 87.74728, y = 16.60002, z = 182.8811, angle = 143.2179, collision = h0002B0_0000
x = 86.73277, y = 16.60002, z = 184.0451, angle = 66.13932, collision = h0002B0_0000
x = 86.0179, y = 16.60002, z = 183.0392, angle = 106.5129, collision = h0002B0_0000
x = 84.85678, y = 16.60002, z = 183.207, angle = 137.1178, collision = h0002B0_0000
x = 83.9523, y = 16.60002, z = 184.1169, angle = 150.4828, collision = h0002B0_0000
x = 83.2655, y = 16.60002, z = 185.2552, angle = 170.7658, collision = h0002B0_0000
x = 84.04991, y = 16.60002, z = 186.6386, angle = -74.28625, collision = h0002B0_0000
x = 85.1049, y = 16.60002, z = 186.5801, angle = -71.72488, collision = h0002B0_0000
x = 86.30401, y = 16.60002, z = 186.2548, angle = -76.87288, collision = h0002B0_0000
x = 87.69111, y = 16.60002, z = 185.9222, angle = -31.35262, collision = h0002B0_0000
x = 88.50737, y = 16.60002, z = 184.7695, angle = -78.89344, collision = h0002B0_0000
x = 89.51965, y = 16.65759, z = 185.3616, angle = -156.1966, collision = h0002B0_0000
x = 89.9855, y = 16.60002, z = 186.365, angle = -168.1369, collision = h0002B0_0000
x = 90.56393, y = 16.60002, z = 187.4145, angle = -66.52697, collision = h0002B0_0000
x = 91.68828, y = 16.60002, z = 187.0071, angle = -32.61074, collision = h0002B0_0000
