x = 43.63179, y = -157.5988, z = 129.7619, angle = -76.01783, collision = h0000B1
x = 42.57837, y = -157.6627, z = 130.1889, angle = 113.1911, collision = h0000B1
x = 41.5069, y = -157.6534, z = 130.6713, angle = 121.1154, collision = h0000B1
x = 44.56712, y = -157.8007, z = 130.2868, angle = -106.0343, collision = h0000B1
x = 45.90938, y = -157.7426, z = 130.5692, angle = -95.49692, collision = h0000B1
x = 46.97614, y = -157.7066, z = 130.6719, angle = -95.84378, collision = h0000B1
x = 48.34672, y = -157.5818, z = 130.8133, angle = -100.7851, collision = h0000B1
x = 49.70684, y = -157.4167, z = 131.0202, angle = -80.39556, collision = h0000B1
x = 51.0481, y = -157.4436, z = 130.7355, angle = 22.60902, collision = h0000B1
x = 50.58125, y = -157.5983, z = 129.7829, angle = 103.0702, collision = h0000B1
x = 49.5504, y = -157.6408, z = 129.9798, angle = 122.7652, collision = h0000B1
x = 47.36191, y = -157.8171, z = 129.7129, angle = -13.36988, collision = h0000B1
x = 47.77848, y = -157.8086, z = 128.4363, angle = -38.20996, collision = h0000B1
x = 48.5191, y = -157.889, z = 127.6788, angle = -84.53818, collision = h0000B1
x = 49.86738, y = -158.0485, z = 127.6886, angle = -114.7331, collision = h0000B1
x = 51.11677, y = -157.8425, z = 128.2683, angle = -101.1885, collision = h0000B1
x = 52.42495, y = -157.8041, z = 128.3033, angle = 0.792862, collision = h0000B1
x = 52.21792, y = -158.0538, z = 126.9593, angle = 4.848041, collision = h0000B1
x = 52.31941, y = -158.2964, z = 125.7762, angle = -83.345, collision = h0000B1
x = 53.65822, y = -158.4657, z = 125.4846, angle = -78.73238, collision = h0000B1
x = 54.90708, y = -158.6695, z = 125.5839, angle = -174.6001, collision = h0000B1
x = 54.94216, y = -158.5465, z = 126.8977, angle = -175.5179, collision = h0000B1
x = 54.93709, y = -158.4047, z = 127.9512, angle = -159.405, collision = h0000B1
x = 55.65061, y = -158.475, z = 129.0298, angle = -94.0667, collision = h0000B1
x = 56.97784, y = -158.9462, z = 128.9617, angle = -54.87387, collision = h0000B1
x = 58.17075, y = -159.4388, z = 128.3768, angle = -71.84247, collision = h0000B1
x = 58.38702, y = -159.6254, z = 127.2796, angle = -24.86448, collision = h0000B1
x = 59.53288, y = -159.8805, z = 127.4588, angle = -142.6628, collision = h0000B1
x = 60.30263, y = -159.9713, z = 128.2783, angle = -109.9566, collision = h0000B1
x = 61.40253, y = -160.2312, z = 128.6611, angle = -113.0524, collision = h0000B1
x = 62.40624, y = -160.474, z = 129.1399, angle = -120.7003, collision = h0000B1
x = 63.25381, y = -160.6137, z = 129.6981, angle = -145.9342, collision = h0000B1
x = 63.85741, y = -160.6979, z = 130.6276, angle = -161.3707, collision = h0000B1
x = 58.62783, y = -159.6434, z = 126.2621, angle = -16.08797, collision = h0000B1
x = 58.78817, y = -159.8567, z = 125.2587, angle = 10.34789, collision = h0000B1
x = 58.56398, y = -159.9085, z = 124.2392, angle = 17.65287, collision = h0003B1
x = 58.38349, y = -160.1244, z = 123.2275, angle = 4.526831, collision = h0003B1
x = 58.33881, y = -160.3423, z = 122.1269, angle = 2.07967, collision = h0003B1
x = 58.30215, y = -160.5492, z = 121.0952, angle = 2.087388, collision = h0003B1
x = 58.29617, y = -160.7466, z = 119.9917, angle = -4.010291, collision = h0003B1
x = 58.36695, y = -160.8824, z = 118.9751, angle = -4.333523, collision = h0003B1
x = 58.4558, y = -161.0445, z = 117.8665, angle = -5.132928, collision = h0003B1
x = 58.56186, y = -161.2321, z = 116.7324, angle = -4.480181, collision = h0003B1
x = 58.73571, y = -161.4619, z = 115.645, angle = 1.750414, collision = h0003B1
x = 58.64579, y = -162.0746, z = 115.0584, angle = 31.20138, collision = h0004B1
x = 57.69262, y = -162.172, z = 113.848, angle = 63.67807, collision = h0004B1
x = 56.51326, y = -161.9198, z = 113.1484, angle = 28.15763, collision = h0004B1
x = 57.26122, y = -161.9927, z = 112.3754, angle = -78.85743, collision = h0004B1
x = 58.54652, y = -162.2575, z = 112.5006, angle = -134.6065, collision = h0004B1
x = 59.35291, y = -162.2952, z = 111.735, angle = -68.24135, collision = h0004B1
x = 60.35751, y = -162.3229, z = 111.2164, angle = -80.22633, collision = h0004B1
x = 61.29783, y = -162.2218, z = 111.6703, angle = -135.696, collision = h0004B1
x = 62.14684, y = -162.0955, z = 112.2597, angle = -99.9269, collision = h0004B1
x = 63.16769, y = -162.126, z = 112.4086, angle = -84.94927, collision = h0004B1
x = 63.90209, y = -162.1036, z = 111.7202, angle = 32.26564, collision = h0004B1
x = 63.11174, y = -162.1229, z = 110.9949, angle = -3.752875, collision = h0004B1
x = 63.30797, y = -162.2005, z = 109.8767, angle = -2.924919, collision = h0004B1
x = 62.7693, y = -162.3346, z = 109.0298, angle = 136.2204, collision = h0004B1
x = 61.88543, y = -162.2512, z = 109.8663, angle = 117.215, collision = h0004B1
x = 58.43197, y = -162.1986, z = 110.9473, angle = 72.24013, collision = h0004B1
x = 57.45403, y = -162.0325, z = 110.464, angle = 32.61975, collision = h0004B1
x = 57.44525, y = -161.9641, z = 109.4616, angle = -75.44975, collision = h0004B1
x = 58.60221, y = -162.1507, z = 109.4086, angle = -77.5555, collision = h0004B1
x = 59.79343, y = -162.2497, z = 108.976, angle = -51.19244, collision = h0004B1
x = 60.70675, y = -162.385, z = 108.211, angle = -13.65883, collision = h0004B1
x = 60.31346, y = -162.4306, z = 107.2808, angle = 56.04327, collision = h0004B1
x = 59.81235, y = -162.486, z = 106.3657, angle = 0.7443813, collision = h0004B1
x = 60.5617, y = -162.6727, z = 105.5808, angle = -95.74371, collision = h0004B1
x = 61.5489, y = -162.7985, z = 105.8181, angle = -99.97578, collision = h0004B1
x = 62.68759, y = -162.9963, z = 105.7444, angle = -42.98618, collision = h0004B1
x = 63.22813, y = -163.3851, z = 104.7829, angle = -12.12951, collision = h0004B1
x = 63.43975, y = -163.83, z = 103.798, angle = -11.73574, collision = h0004B1
x = 62.10482, y = -163.2372, z = 104.6662, angle = 72.72048, collision = h0004B1
