x = -57.91173, y = -27.25878, z = -17.22461, angle = -110.0368, collision = h1070B1
x = -57.40325, y = -27.79236, z = -16.1949, angle = -145.3403, collision = h1070B1
x = -56.64455, y = -28.30697, z = -15.66104, angle = -123.1048, collision = h1070B1
x = -55.82531, y = -28.84287, z = -15.15215, angle = -122.6348, collision = h1070B1
x = -55.0397, y = -29.35491, z = -14.67024, angle = -121.1977, collision = h1070B1
x = -54.17212, y = -29.91813, z = -14.14577, angle = -120.9705, collision = h1070B1
x = -53.37097, y = -30.43631, z = -13.66805, angle = -120.4786, collision = h1070B1
x = -52.50027, y = -31.03908, z = -13.16862, angle = -119.3561, collision = h1070B1
x = -51.67847, y = -31.6041, z = -12.7082, angle = -119.1748, collision = h1070B1
x = -50.85963, y = -32.17604, z = -12.25286, angle = -118.769, collision = h1070B1
x = -50.12398, y = -32.68259, z = -11.85091, angle = -118.2388, collision = h1070B1
x = -49.36809, y = -33.23435, z = -11.33781, angle = -141.0394, collision = h1070B1
x = -58.95124, y = -26.70912, z = -17.46988, angle = 62.94292, collision = h1070B1
x = -59.81513, y = -26.17674, z = -17.93966, angle = 61.03941, collision = h1070B1
x = -60.64742, y = -25.66059, z = -18.40364, angle = 61.12877, collision = h1070B1
x = -61.50407, y = -25.13071, z = -18.87636, angle = 60.88413, collision = h1070B1
x = -62.33625, y = -24.61241, z = -19.34811, angle = 59.56485, collision = h1070B1
x = -63.2872, y = -24.00906, z = -19.92615, angle = 54.39716, collision = h1070B1
x = -64.24519, y = -23.39125, z = -20.54362, angle = 58.13955, collision = h1095B1
x = -65.10307, y = -23.27482, z = -21.08016, angle = 50.44369, collision = h1095B1
x = -65.92426, y = -23.27523, z = -21.76689, angle = 34.80774, collision = h1095B1
x = -65.22272, y = -23.27522, z = -22.69025, angle = -75.97102, collision = h1095B1
x = -64.07627, y = -23.27488, z = -22.73052, angle = -110.5285, collision = h1095B1
x = -63.01344, y = -23.27527, z = -22.26333, angle = -158.3718, collision = h1095B1
x = -62.51882, y = -23.27552, z = -21.29704, angle = -114.4015, collision = h1095B1
x = -61.41936, y = -23.27611, z = -21.02542, angle = -69.88593, collision = h1095B1
x = -64.47757, y = -23.27525, z = -23.77237, angle = 5.255585, collision = h1095B1
x = -63.91863, y = -23.27529, z = -24.68517, angle = -95.28253, collision = h1095B1
x = -62.97585, y = -23.27545, z = -24.22216, angle = -128.6465, collision = h1095B1
x = -62.05837, y = -23.276, z = -23.575, angle = -122.4604, collision = h1095B1
x = -61.03736, y = -23.27603, z = -22.98642, angle = -114.4179, collision = h1095B1
x = -60.00726, y = -23.27601, z = -22.80713, angle = -43.90863, collision = h1095B1
x = -59.94873, y = -23.27598, z = -23.85693, angle = 58.21112, collision = h1095B1
x = -60.86768, y = -23.27594, z = -24.47155, angle = 66.98376, collision = h1095B1
x = -61.76784, y = -23.27592, z = -24.96022, angle = 50.80022, collision = h1095B1
x = -62.75891, y = -23.27568, z = -25.43983, angle = 72.85176, collision = h1095B1
x = -62.99905, y = -23.27561, z = -26.54775, angle = -28.44745, collision = h1095B1
x = -62.53285, y = -23.27576, z = -27.52513, angle = -24.06523, collision = h1095B1
x = -61.98895, y = -23.27584, z = -26.18593, angle = -148.5897, collision = h1095B1
x = -59.77649, y = -23.27592, z = -24.94444, angle = 49.42378, collision = h1095B1
x = -60.65474, y = -23.27587, z = -25.71026, angle = 60.79901, collision = h1095B1
x = -63.04218, y = -23.2758, z = -28.44964, angle = 23.47525, collision = h1095B1
x = -62.05983, y = -23.27562, z = -28.81448, angle = -43.23369, collision = h1095B1
x = -61.76199, y = -23.27552, z = -29.79947, angle = -7.211751, collision = h1095B1
x = -61.25685, y = -23.27552, z = -30.88584, angle = -12.83884, collision = h1095B1
x = -60.86747, y = -23.27551, z = -31.82123, angle = -16.18727, collision = h1095B1
x = -61.00443, y = -23.2756, z = -28.88198, angle = -65.5093, collision = h1095B1
x = -60.07679, y = -23.27564, z = -29.44602, angle = -101.394, collision = h1095B1
x = -59.65528, y = -23.27569, z = -28.48168, angle = 127.1964, collision = h1095B1
x = -60.51142, y = -23.27568, z = -27.86028, angle = 121.5706, collision = h1095B1
x = -61.10462, y = -23.27579, z = -26.76244, angle = -45.26413, collision = h1095B1
x = -58.87514, y = -23.27577, z = -27.49873, angle = -156.3448, collision = h1095B1
x = -58.29089, y = -23.27583, z = -26.57722, angle = -107.715, collision = h1095B1
x = -57.60952, y = -23.27614, z = -27.35555, angle = 29.46866, collision = h1095B1
x = -58.15662, y = -23.27606, z = -28.36067, angle = 13.78884, collision = h1095B1
