x = 17.43242, y = 10.31354, z = -20.39503, angle = 22.11365, collision = h1000B1
x = 16.86322, y = 10.25124, z = -21.69811, angle = 29.32912, collision = h1000B1
x = 15.88798, y = 10.69397, z = -21.2012, angle = 132.7629, collision = h1000B1
x = 15.02841, y = 11.16228, z = -20.37531, angle = 140.2879, collision = h1000B1
x = 15.97546, y = 10.89907, z = -20.02962, angle = -174.5166, collision = h1000B1
x = 14.9344, y = 11.43951, z = -19.16217, angle = 50.20055, collision = h1001B1
x = 13.97646, y = 11.56549, z = -20.14338, angle = 101.0115, collision = h1001B1
x = 12.9889, y = 12.01786, z = -19.82181, angle = -169.6261, collision = h1001B1
x = 13.00875, y = 12.30618, z = -18.45936, angle = 106.1961, collision = h1001B1
x = 11.77094, y = 12.81701, z = -18.06584, angle = 61.85348, collision = h1001B1
x = 10.82429, y = 12.96578, z = -18.92331, angle = 134.8951, collision = h1001B1
x = 10.31203, y = 13.29856, z = -18.00243, angle = -122.3416, collision = h1001B1
x = 11.16521, y = 13.15989, z = -17.26931, angle = 172.8987, collision = h1001B1
x = 10.7573, y = 13.48372, z = -16.21512, angle = 45.01372, collision = h1001B1
x = 9.917492, y = 13.53769, z = -16.83046, angle = 37.67931, collision = h1001B1
x = 8.982997, y = 13.5377, z = -17.51036, angle = 165.0961, collision = h1001B1
x = 8.929478, y = 13.5377, z = -16.31688, angle = -106.3717, collision = h1001B1
x = 10.50456, y = 13.5377, z = -15.11699, angle = -163.5058, collision = h1001B1
x = 11.07273, y = 13.5877, z = -14.17495, angle = -134.5337, collision = h1002B1
x = 11.84086, y = 13.58741, z = -13.29576, angle = -150.1942, collision = h1002B1
x = 12.41514, y = 13.58628, z = -12.47202, angle = -145.8027, collision = h1002B1
x = 14.54982, y = 4.79268, z = -10.04585, angle = -132.8307, collision = h1002B1
x = 14.10065, y = 4.778422, z = -10.94942, angle = 50.20491, collision = h1002B1
x = 14.82386, y = 4.740702, z = -11.74826, angle = -51.41992, collision = h1002B1
x = 15.80006, y = 4.716481, z = -11.27486, angle = -93.74452, collision = h1061B1
x = 16.8266, y = 4.715779, z = -11.25915, angle = -60.10893, collision = h1061B1
x = 18.05951, y = 4.706403, z = -11.89174, angle = -57.9604, collision = h1061B1
x = 19.20041, y = 4.698117, z = -12.67011, angle = -43.12591, collision = h1061B1
x = 20.15774, y = 4.402978, z = -13.67257, angle = -43.65492, collision = h1061B1
x = 21.06436, y = 4.406223, z = -14.7293, angle = -5.502605, collision = h1061B1
x = 21.28352, y = 4.715638, z = -16.08821, angle = -15.49553, collision = h1061B1
x = 21.59653, y = 4.402979, z = -17.42691, angle = 20.43359, collision = h1061B1
x = 21.1498, y = 4.402979, z = -18.73795, angle = 21.62964, collision = h1061B1
x = 20.75173, y = 4.402979, z = -19.74031, angle = 22.74329, collision = h1061B1
x = 20.08796, y = 4.402979, z = -20.93658, angle = 47.39051, collision = h1061B1
x = 19.38544, y = 4.402979, z = -21.95209, angle = 29.75735, collision = h1061B1
x = 19.23808, y = 4.402979, z = -20.37672, angle = 141.1048, collision = h1061B1
x = 18.37016, y = 4.402979, z = -19.29745, angle = 143.8213, collision = h1061B1
x = 17.57336, y = 4.402979, z = -18.16488, angle = 155.488, collision = h1061B1
x = 17.09968, y = 4.402979, z = -16.86961, angle = 174.298, collision = h1061B1
x = 16.9158, y = 4.402979, z = -15.64096, angle = 169.7364, collision = h1061B1
x = 15.87181, y = 4.402979, z = -16.36359, angle = 72.29663, collision = h1061B1
